Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra (*)
22;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,3937098;0,0552452;20170323T192730;60,00002;0,0732558;WIP;(-0.320,1.650,0.106);(-0.366,1.650,0.097);(-0.339,1.031,0.058);(2.140,0.817,-0.902);(2.154,0.821,-0.897);(20.253,0.500,-20.000);0,04710442;0;0,04710442;0;0,01486601;0;0,01486601;0;28,76612;0;28,76612;0;0,3859474;0,330318;0,02419771;0,8;False;1;Unknown;Unknown;0;1;True;NULL
23;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,4737629;0,0800531;20170323T192730;60,00002;0,0925618;WIP;(-0.232,1.650,0.099);(-0.320,1.650,0.106);(-0.240,1.037,0.048);(2.129,0.803,-0.883);(2.140,0.817,-0.902);(20.253,0.500,-20.000);0,08792349;0;0,08792349;0;0,02195457;0;0,02195457;0;28,69856;0;28,69856;0;0,5660813;0,330318;0,03057483;0,8;False;1;Unknown;Unknown;0;1;True;NULL
24;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,5197935;0,0460306;20170323T192730;60,00002;0,0575392;WIP;(-0.200,1.650,0.094);(-0.232,1.650,0.099);(-0.194,1.035,0.046);(2.123,0.795,-0.873);(2.129,0.803,-0.883);(20.253,0.500,-20.000);0,03255955;0;0,03255955;0;0,01166192;0;0,01166192;0;28,6721;0;28,6721;0;0,5013411;0,330318;0,01900623;0,8;False;1;Unknown;Unknown;0;1;True;NULL
25;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,6068507;0,0870572;20170323T192730;60,00002;0,0980642;WIP;(-0.091,1.650,0.075);(-0.200,1.650,0.094);(-0.078,1.034,0.029);(2.115,0.786,-0.860);(2.123,0.795,-0.873);(20.253,0.500,-20.000);0,1103989;0;0,1103989;0;0,01526429;0;0,01526429;0;28,58123;0;28,58123;0;0,5285941;0,2289162;0,02244848;0,8;False;1;Unknown;Unknown;0;1;True;NULL
26;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,6553837;0,048533;20170323T192730;60,00002;0,0585397;WIP;(-0.070,1.650,0.071);(-0.091,1.650,0.075);(-0.046,1.032,0.029);(2.115,0.794,-0.883);(2.115,0.786,-0.860);(20.253,0.500,-20.000);0,02141812;0;0,02141812;0;0,023;0;0,023;0;28,56351;0;28,56351;0;0,5405402;0,2289162;0,01340069;0,8;False;1;Unknown;Unknown;0;1;True;NULL
27;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,7324341;0,0770504;20170323T192730;60,00002;0,0885574;Direct;(-0.013,1.650,0.059);(-0.070,1.650,0.071);(0.007,1.028,0.047);(2.117,0.802,-0.908);(2.115,0.794,-0.883);(20.253,0.500,-20.000);0,05841365;0,05841365;0;0;0,02507986;0,02507986;0;0;28,5145;28,5145;0;0;0,958804;0;0;0,8;False;1;Unknown;Unknown;0;1;True;NULL
28;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,7705977;0,0381636;20170323T192730;60,00002;0,0885574;Direct;(-0.011,1.650,0.034);(-0.013,1.650,0.059);(0.002,1.023,0.056);(2.118,0.808,-0.924);(2.117,0.802,-0.908);(20.253,0.500,-20.000);0,02507976;0,02507976;0;0;0,01603125;0,01603125;0;0;28,49549;28,49549;0;0;1,076184;0;0;0,8;False;1;Unknown;Unknown;0;1;True;NULL
29;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,8586562;0,0880585;20170323T192730;60,00002;0,0885574;Direct;(-0.010,1.650,0.018);(-0.011,1.650,0.034);(-0.001,1.019,0.060);(2.123,0.810,-0.934);(2.118,0.808,-0.924);(20.253,0.500,-20.000);0,01603122;0,01603122;0;0;0,01118028;0,01118028;0;0;28,48354;28,48354;0;0;0,9443089;0;0;0,8;False;1;Unknown;Unknown;0;1;True;NULL
30;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,9377401;0,0790839;20170323T192730;60,00002;0,0885574;Direct;(-0.005,1.650,0.008);(-0.010,1.650,0.018);(-0.007,1.009,0.071);(2.124,0.810,-0.943);(2.123,0.810,-0.934);(20.253,0.500,-20.000);0,01118252;0,01118252;0;0;0,009055407;0,009055407;0;0;28,47295;28,47295;0;0;0,8772519;0;0;0,8;False;1;Unknown;Unknown;0;1;True;NULL
31;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,9837698;0,0460297;20170323T192730;60,00002;0,0885574;Direct;(-0.004,1.650,-0.001);(-0.005,1.650,0.008);(-0.016,0.995,0.076);(2.116,0.805,-0.957);(2.124,0.810,-0.943);(20.253,0.500,-20.000);0,009054908;0,009054908;0;0;0,01612458;0,01612458;0;0;28,46591;28,46591;0;0;0,8890322;0;0;0,8;False;1;Unknown;Unknown;0;1;True;NULL
