Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra (*)
2;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,270679;0,092682;20170324T133623;115,0079;0;Estacionario;(0.001,1.650,0.012);(0.000,1.650,0.000);(0.006,1.071,-0.004);(2.028,0.730,-0.725);(2.030,0.736,-0.710);(20.253,0.500,-20.000);0,01204157;0;0;0,01204157;0,01513277;0;0;0,01513277;28,47145;0;0;28,47145;0,1290184;0,25;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
3;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,771905;0,501226;20170324T133624;62,65606;0;Estacionario;(-0.001,1.650,-0.003);(0.001,1.650,0.012);(0.002,1.072,-0.005);(2.028,0.731,-0.724);(2.028,0.730,-0.725);(20.253,0.500,-20.000);0,01513265;0;0;0,01513265;0,001000047;0;0;0,001000047;28,46233;0;0;28,46233;0,07446542;0,1299702;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
4;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,798842;0,026937;20170324T133624;62,37991;0;Estacionario;(-0.001,1.650,-0.002);(-0.001,1.650,-0.003);(0.001,1.072,-0.004);(2.028,0.732,-0.723);(2.028,0.731,-0.724);(20.253,0.500,-20.000);0,001000047;0;0;0,001000047;0,0009999871;0;0;0,0009999871;28,46304;0;0;28,46304;0,04815524;0,1299702;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
6;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,025628;0,156516;20170324T133624;61,38285;0;Estacionario;(0.000,1.650,0.000);(-0.001,1.650,-0.001);(0.000,1.073,0.000);(2.030,0.715,-0.710);(2.029,0.734,-0.722);(20.253,0.500,-20.000);0,001413816;0;0;0,001413816;0,01204161;0;0;0,01204161;28,46373;0;0;28,46373;0,05477929;0,1299702;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
7;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,087071;0,061443;20170324T133624;61,2417;0;Estacionario;(0.001,1.650,0.012);(0.000,1.650,0.000);(0.000,1.045,-0.002);(2.030,0.736,-0.715);(2.030,0.715,-0.710);(20.253,0.500,-20.000);0,01204157;0;0;0,01204157;0,004999995;0;0;0,004999995;28,47145;0;0;28,47145;0,04608427;0,1299702;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
9;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,305225;0,101288;20170324T133624;60,80892;0;Estacionario;(0.001,1.650,0.012);(0.001,1.650,0.007);(0.006,1.071,-0.004);(2.026,0.721,-0.712);(2.030,0.736,-0.710);(20.253,0.500,-20.000);0,004999997;0;0;0,004999997;0,004472105;0;0;0,004472105;28,47145;0;0;28,47145;0,04393004;0,1299702;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
10;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,405081;0,099856;20170324T133624;60,65355;0;Estacionario;(-0.003,1.650,0.010);(0.001,1.650,0.012);(-0.017,1.056,-0.001);(2.030,0.715,-0.710);(2.026,0.721,-0.712);(20.253,0.500,-20.000);0,004470186;0;0;0,004470186;0,004472105;0;0;0,004472105;28,47289;0;0;28,47289;0,04363003;0,1299702;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
11;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,488579;0,083498;20170324T133624;60,47503;0;Estacionario;(0.001,1.650,0.012);(-0.003,1.650,0.010);(0.000,1.045,-0.002);(2.025,0.727,-0.710);(2.030,0.715,-0.710);(20.253,0.500,-20.000);0,004470186;0;0;0,004470186;0,004999876;0;0;0,004999876;28,47145;0;0;28,47145;0,08930195;0,1299702;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
12;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,585815;0,097236;20170324T133624;60,34555;0;Estacionario;(-0.004,1.650,0.012);(0.001,1.650,0.012);(-0.024,1.064,0.000);(2.025,0.727,-0.710);(2.025,0.727,-0.710);(20.253,0.500,-20.000);0,004997253;0;0;0,004997253;0;0;0;0;28,47501;0;0;28,47501;0,04756864;0,1299702;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
13;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,669323;0,083508;20170324T133625;60,22627;0;Estacionario;(-0.004,1.650,0.012);(-0.004,1.650,0.012);(-0.024,1.064,0.000);(2.025,0.728,-0.709);(2.025,0.727,-0.710);(20.253,0.500,-20.000);3,814697E-06;0;0;3,814697E-06;0,0009999871;0;0;0,0009999871;28,47501;0;0;28,47501;0,03845599;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
14;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,806783;0,13746;20170324T133625;60,108;0;Estacionario;(-0.004,1.650,0.013);(-0.004,1.650,0.012);(-0.025,1.068,0.000);(2.024,0.729,-0.708);(2.025,0.728,-0.709);(20.253,0.500,-20.000);0,0009999945;0;0;0,0009999945;0,001414322;0;0;0,001414322;28,47571;0;0;28,47571;0,03066493;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
15;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,89043;0,083647;20170324T133625;60,07082;0;Estacionario;(-0.005,1.650,0.014);(-0.004,1.650,0.013);(-0.024,1.070,-0.002);(2.024,0.729,-0.708);(2.024,0.729,-0.708);(20.253,0.500,-20.000);0,001413816;0;0;0,001413816;0;0;0;0;28,47713;0;0;28,47713;0,01633435;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
16;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,988366;0,097936;20170324T133625;60,04644;0;Estacionario;(-0.005,1.650,0.014);(-0.005,1.650,0.014);(-0.024,1.070,-0.002);(2.025,0.729,-0.707);(2.024,0.729,-0.708);(20.253,0.500,-20.000);0;0;0;0;0,001414322;0;0;0,001414322;28,47713;0;0;28,47713;0,03234144;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
18;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;2,192741;0,084272;20170324T133625;60,01617;0;Estacionario;(-0.004,1.650,0.015);(-0.004,1.650,0.015);(-0.018,1.072,-0.007);(2.025,0.729,-0.706);(2.025,0.729,-0.707);(20.253,0.500,-20.000);0;0;0;0;0,001000047;0;0;0,001000047;28,47712;0;0;28,47712;0,0196343;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
19;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;2,226047;0,033306;20170324T133625;60,01456;0;Estacionario;(-0.004,1.650,0.016);(-0.004,1.650,0.015);(-0.015,1.071,-0.011);(2.025,0.728,-0.707);(2.025,0.729,-0.706);(20.253,0.500,-20.000);0,001000054;0;0;0,001000054;0,001000047;0;0;0,001000047;28,47782;0;0;28,47782;0,01798492;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
20;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;2,277971;0,051924;20170324T133625;60,0118;0;Estacionario;(-0.004,1.650,0.015);(-0.004,1.650,0.016);(-0.012,1.071,-0.008);(2.025,0.728,-0.707);(2.025,0.728,-0.707);(20.253,0.500,-20.000);0,001000047;0;0;0,001000047;0;0;0;0;28,47712;0;0;28,47712;0,009580064;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
21;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;2,393288;0,115317;20170324T133625;60,00697;0;Estacionario;(-0.004,1.650,0.015);(-0.004,1.650,0.015);(-0.012,1.071,-0.008);(2.026,0.729,-0.708);(2.025,0.728,-0.707);(20.253,0.500,-20.000);0;0;0;0;0,001414153;0;0;0,001414153;28,47712;0;0;28,47712;0,01909707;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
22;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;2,506945;0,113657;20170324T133625;60,00456;0;Estacionario;(-0.003,1.650,0.014);(-0.004,1.650,0.015);(-0.008,1.071,-0.004);(2.026,0.729,-0.709);(2.026,0.729,-0.708);(20.253,0.500,-20.000);0,001416515;0;0;0,001416515;0,0009999871;0;0;0,0009999871;28,4757;0;0;28,4757;0,01791918;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
