Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Num Embates (Indicadores de Obstaculos);Raio Embate;Raio Perigo;Raio Aviso;Raio Pre-Aviso;Indicator (Indicator Limit 0) Distance;Indicator (Indicator Limit 0) State;Indicator (Indicator Limit 0) Count Embate;Indicator (Indicator Limit 1) Distance;Indicator (Indicator Limit 1) State;Indicator (Indicator Limit 1) Count Embate;Indicator (Indicator Limit 2) Distance;Indicator (Indicator Limit 2) State;Indicator (Indicator Limit 2) Count Embate;Indicator (Indicator Limit 3) Distance;Indicator (Indicator Limit 3) State;Indicator (Indicator Limit 3) Count Embate;Indicator (Indicator Obstacle 4) Distance;Indicator (Indicator Obstacle 4) State;Indicator (Indicator Obstacle 4) Count Embate;Indicator (Indicator Obstacle 5) Distance;Indicator (Indicator Obstacle 5) State;Indicator (Indicator Obstacle 5) Count Embate;Total Embate (via dist indicadores);Id;Iniciado;Extra (*)
2;1;01_Sc_CWIP_AVR_Inicio;AVR;0,198085;0,04381;20170327T125952;174,4693;0;Estacionario;(0.039,1.650,-0.019);(0.000,1.650,0.000);(0.006,0.861,-0.033);(1.995,0.599,-1.206);(2.000,0.563,-1.157);(20.266,0.500,-20.000);0,04338331;0;0;0,04338331;0,04925447;0;0;0,04925447;28,43188;0;0;28,43188;0,4397268;1,567381;0;0,8;True;1;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;0,5149999;Warning;0;3,515;Normal;0;2,761;Normal;0;0,239;Danger;0;3,128656;Normal;0;2,437268;Normal;0;0;104;False;NULL
3;1;01_Sc_CWIP_AVR_Inicio;AVR;0,265662;0,067577;20170327T125952;128,0522;0;Direct;(0.034,1.650,-0.068);(0.039,1.650,-0.019);(0.004,0.919,-0.061);(2.031,0.506,-1.034);(1.995,0.599,-1.206);(20.266,0.500,-20.000);0,04925496;0,04925496;0;0;0,175727;0,175727;0;0;28,40103;28,40103;0;0;1,897469;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5489999;Warning;0;3,549;Normal;0;2,829;Normal;0;0,171;Danger;0;3,196626;Normal;0;2,480041;Normal;0;0;104;False;NULL
4;1;01_Sc_CWIP_AVR_Inicio;AVR;0,381829;0,116167;20170327T125952;97,94646;0;Direct;(0.070,1.650,0.104);(0.034,1.650,-0.068);(0.054,0.804,0.051);(1.995,0.731,-1.255);(2.031,0.506,-1.034);(20.266,0.500,-20.000);0,1757276;0,1757276;0;0;0,2239129;0,2239129;0;0;28,49648;28,49648;0;0;3,435282;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5289999;Warning;0;3,529;Normal;0;2,584;Normal;0;0,416;Warning;0;3,037696;Normal;0;2,434774;Normal;0;0;104;False;NULL
5;1;01_Sc_CWIP_AVR_Inicio;AVR;0,498355;0,116526;20170327T125953;80,44907;0;Direct;(0.034,1.650,-0.117);(0.070,1.650,0.104);(-0.025,1.121,-0.005);(2.021,0.740,-1.221);(1.995,0.731,-1.255);(20.266,0.500,-20.000);0,2239128;0,2239128;0;0;0,04280184;0,04280184;0;0;28,36666;28,36666;0;0;2,89507;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,493;Warning;0;3,493;Normal;0;2,805;Normal;0;0,1950001;Danger;0;3,137509;Normal;0;2,421211;Normal;0;0;104;False;NULL
6;1;01_Sc_CWIP_AVR_Inicio;AVR;0,584916;0,086561;20170327T125953;72,00908;0;Direct;(0.060,1.650,-0.083);(0.034,1.650,-0.117);(0.015,1.160,-0.013);(1.961,0.567,-1.138);(2.021,0.740,-1.221);(20.266,0.500,-20.000);0,04280249;0,04280249;0;0;0,1024157;0,1024157;0;0;28,37198;28,37198;0;0;2,957737;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5189999;Warning;0;3,519;Normal;0;2,771;Normal;0;0,2290001;Danger;0;3,137829;Normal;0;2,442482;Normal;0;0;104;False;NULL
7;1;01_Sc_CWIP_AVR_Inicio;AVR;0,667016;0,0821;20170327T125953;68,30419;0;Direct;(0.000,1.650,0.000);(0.060,1.650,-0.083);(0.000,0.869,0.000);(1.999,0.513,-1.116);(1.961,0.567,-1.138);(20.266,0.500,-20.000);0,1024166;0,1024166;0;0;0,04390896;0,04390896;0;0;28,47298;28,47298;0;0;2,530223;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5149999;Warning;0;3,515;Normal;0;2,761;Normal;0;0,239;Danger;0;3,128656;Normal;0;2,437268;Normal;0;0;104;False;NULL
8;1;01_Sc_CWIP_AVR_Inicio;AVR;0,699808;0,032792;20170327T125953;67,37174;0;Direct;(0.038,1.650,0.022);(0.000,1.650,0.000);(0.028,0.796,0.038);(2.008,0.559,-1.132);(1.999,0.513,-1.116);(20.266,0.500,-20.000);0,04390742;0,04390742;0;0;0,01835746;0,01835746;0;0;28,46142;28,46142;0;0;2,015381;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5149999;Warning;0;3,515;Normal;0;2,761;Normal;0;0,239;Danger;0;3,128656;Normal;0;2,437268;Normal;0;0;104;False;NULL
9;1;01_Sc_CWIP_AVR_Inicio;AVR;0,800553;0,100745;20170327T125953;65,20084;0;Direct;(0.047,1.650,0.006);(0.038,1.650,0.022);(0.010,0.845,-0.005);(2.000,0.563,-1.157);(2.008,0.559,-1.132);(20.266,0.500,-20.000);0,01835693;0,01835693;0;0;0,02624875;0,02624875;0;0;28,44377;28,44377;0;0;1,697795;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5059999;Warning;0;3,506;Normal;0;2,682;Normal;0;0,3180001;Danger;0;3,074851;Normal;0;2,419651;Normal;0;0;104;False;NULL
10;1;01_Sc_CWIP_AVR_Inicio;AVR;0,902244;0,101691;20170327T125953;63,70439;0;Direct;(0.039,1.650,-0.019);(0.047,1.650,0.006);(0.006,0.861,-0.033);(1.995,0.599,-1.206);(2.000,0.563,-1.157);(20.266,0.500,-20.000);0,02624861;0,02624861;0;0;0,04925447;0,04925447;0;0;28,43188;28,43188;0;0;1,643639;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5539999;Warning;0;3,554;Normal;0;2,78;Normal;0;0,22;Danger;0;3,17131;Normal;0;2,478341;Normal;0;0;104;False;NULL
11;1;01_Sc_CWIP_AVR_Inicio;AVR;1,001533;0,099289;20170327T125953;62,65606;0;Direct;(0.034,1.650,-0.068);(0.039,1.650,-0.019);(0.004,0.919,-0.061);(1.994,0.694,-1.205);(1.995,0.599,-1.206);(20.266,0.500,-20.000);0,04925419;0,04925419;0;0;0,001414195;0,001414195;0;0;28,40103;28,40103;0;0;1,212627;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5489999;Warning;0;3,549;Normal;0;2,829;Normal;0;0,171;Danger;0;3,196626;Normal;0;2,480041;Normal;0;0;104;False;NULL
