Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra
0;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,000919;0,081969;20170327T130952;61,54045;0;Estacionario;(0.006,1.650,0.034);(0.005,1.650,0.033);(0.028,1.625,0.060);(-0.081,1.218,0.132);(-0.081,1.218,0.132);(20.253,0.500,-20.000);0,001416526;0;0;0,001416526;0;0;0;0;28,48337;0;0;28,48337;0,02314905;0,1303764;0;0,8;True;1;Open;Unknown;0;1;True;Reset Human
1;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,084417;0,083498;20170327T130952;61,11523;0;Estacionario;(0.005,1.650,0.034);(0.006,1.650,0.034);(0.033,1.624,0.064);(-0.081,1.218,0.132);(-0.081,1.218,0.132);(20.253,0.500,-20.000);0,0009994507;0;0;0,0009994507;0;0;0;0;28,48408;0;0;28,48408;0,01233085;0,1303764;0;0,8;True;1;Open;Unknown;0;1;True;NULL
2;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,105325;0,020908;20170327T130952;61,00184;0;Estacionario;(0.005,1.650,0.034);(0.005,1.650,0.034);(0.033,1.624,0.064);(-0.080,1.219,0.136);(-0.081,1.218,0.132);(20.253,0.500,-20.000);0;0;0;0;0,004123114;0;0;0,004123114;28,48408;0;0;28,48408;0,05638215;0,1303764;0;0,8;True;1;Open;Unknown;0;1;True;NULL
3;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,188425;0,0831;20170327T130952;60,65355;0;Estacionario;(0.006,1.650,0.038);(0.005,1.650,0.034);(0.032,1.624,0.069);(-0.080,1.219,0.138);(-0.080,1.219,0.136);(20.253,0.500,-20.000);0,00412298;0;0;0,00412298;0,001999989;0;0;0,001999989;28,48618;0;0;28,48618;0,05598696;0,1303764;0;0,8;True;1;Open;Unknown;0;1;True;NULL
4;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,221395;0,03297;20170327T130952;60,58755;0;Estacionario;(0.006,1.650,0.040);(0.006,1.650,0.038);(0.030,1.625,0.070);(-0.080,1.219,0.138);(-0.080,1.219,0.138);(20.253,0.500,-20.000);0,001999989;0;0;0,001999989;0;0;0;0;28,48759;0;0;28,48759;0,02982268;0,1303764;0;0,8;True;1;Open;Unknown;0;1;True;NULL
5;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,306646;0,085251;20170327T130952;60,42719;0;Estacionario;(0.006,1.650,0.040);(0.006,1.650,0.040);(0.030,1.625,0.070);(-0.080,1.218,0.142);(-0.080,1.219,0.138);(20.253,0.500,-20.000);0;0;0;0;0,004000008;0;0;0,004000008;28,48759;0;0;28,48759;0,04354154;0;0;0,8;True;1;Open;Unknown;0;1;True;NULL
6;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,389459;0,082813;20170327T130952;60,31082;0;Estacionario;(0.006,1.650,0.044);(0.006,1.650,0.040);(0.018,1.627,0.071);(-0.083,1.209,0.143);(-0.080,1.218,0.142);(20.253,0.500,-20.000);0,00400001;0;0;0,00400001;0,003162277;0;0;0,003162277;28,4904;0;0;28,4904;0,04401734;0;0;0,8;True;1;Open;Unknown;0;1;True;NULL
7;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,419047;0,029588;20170327T130952;60,27959;0;Estacionario;(0.003,1.650,0.045);(0.006,1.650,0.044);(-0.005,1.629,0.065);(-0.088,1.212,0.150);(-0.083,1.209,0.143);(20.253,0.500,-20.000);0,003157096;0;0;0,003157096;0,008602327;0;0;0,008602327;28,49323;0;0;28,49323;0,0898864;0,25;0;0,8;True;1;Open;Unknown;0;1;True;NULL
8;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,43927;0,020223;20170327T130952;60,25152;0;Estacionario;(-0.002,1.650,0.052);(0.003,1.650,0.045);(-0.007,1.630,0.072);(-0.088,1.212,0.150);(-0.088,1.212,0.150);(20.253,0.500,-20.000);0,008602945;0;0;0,008602945;0;0;0;0;28,50171;0;0;28,50171;0,04787996;0,125;0;0,8;True;1;Open;Unknown;0;1;True;NULL
9;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,503173;0,063903;20170327T130952;60,18315;0;Estacionario;(-0.002,1.650,0.052);(-0.002,1.650,0.052);(-0.007,1.630,0.072);(-0.091,1.208,0.152);(-0.088,1.212,0.150);(20.253,0.500,-20.000);0;0;0;0;0,003605544;0;0;0,003605544;28,50171;0;0;28,50171;0,05503459;0,125;0;0,8;True;1;Open;Unknown;0;1;True;NULL
10;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,586659;0,083486;20170327T130952;60,108;0;Estacionario;(-0.005,1.650,0.054);(-0.002,1.650,0.052);(-0.021,1.627,0.073);(-0.087,1.215,0.152);(-0.091,1.208,0.152);(20.253,0.500,-20.000);0,003607348;0;0;0,003607348;0,004000001;0;0;0,004000001;28,50525;0;0;28,50525;0,08541777;0,125;0;0,8;True;1;Open;Unknown;0;1;True;NULL
11;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,606715;0,020056;20170327T130952;60,09718;0;Estacionario;(-0.001,1.650,0.054);(-0.005,1.650,0.054);(-0.001,1.629,0.077);(-0.091,1.215,0.154);(-0.087,1.215,0.152);(20.253,0.500,-20.000);0,004001617;0;0;0,004001617;0,004472138;0;0;0,004472138;28,50241;0;0;28,50241;0,1090972;0,125;0;0,8;True;1;Open;Unknown;0;1;True;NULL
