Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra (*)
2;0;02_Sc_CWIP_Passthrough;Passthrough;0,248794;0,085646;20170327T130614;174,4693;0;Estacionario;(0.009,1.650,0.003);(0.000,1.650,0.000);(-0.028,1.024,-0.085);(2.142,0.785,-0.547);(2.155,0.788,-0.541);(20.253,0.500,-20.000);0,009485768;0;0;0,009485768;0,01431782;0;0;0,01431782;28,45944;0;0;28,45944;0,06369347;0,3863637;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
3;0;02_Sc_CWIP_Passthrough;Passthrough;0,343001;0,094207;20170327T130614;128,0522;0;Estacionario;(-0.004,1.650,-0.003);(0.009,1.650,0.003);(-0.042,1.036,-0.052);(2.145,0.786,-0.545);(2.142,0.785,-0.547);(20.253,0.500,-20.000);0,01431826;0;0;0,01431826;0,003605554;0;0;0,003605554;28,46447;0;0;28,46447;0,05011459;0,3863637;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
4;0;02_Sc_CWIP_Passthrough;Passthrough;0,426053;0,083052;20170327T130614;105,3495;0;Estacionario;(-0.001,1.650,-0.001);(-0.004,1.650,-0.003);(-0.066,1.020,-0.045);(2.150,0.787,-0.543);(2.145,0.786,-0.545);(20.253,0.500,-20.000);0,00360734;0;0;0,00360734;0,005385283;0;0;0,005385283;28,46374;0;0;28,46374;0,05257798;0,3863637;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
5;0;02_Sc_CWIP_Passthrough;Passthrough;0,530012;0,103959;20170327T130614;92,12039;0;Estacionario;(0.004,1.650,0.001);(-0.001,1.650,-0.001);(-0.116,0.997,-0.015);(2.151,0.783,-0.542);(2.150,0.787,-0.543);(20.253,0.500,-20.000);0,005382627;0;0;0,005382627;0,001414153;0;0;0,001414153;28,46159;0;0;28,46159;0,03440721;0,2121212;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
6;0;02_Sc_CWIP_Passthrough;Passthrough;0,611055;0,081043;20170327T130614;83,61548;0;Estacionario;(0.005,1.650,0.002);(0.004,1.650,0.001);(-0.123,1.023,-0.003);(2.154,0.785,-0.541);(2.151,0.783,-0.542);(20.253,0.500,-20.000);0,001416515;0;0;0,001416515;0,003162293;0;0;0,003162293;28,46158;0;0;28,46158;0,03404723;0,2279502;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
7;0;02_Sc_CWIP_Passthrough;Passthrough;0,711711;0,100656;20170327T130614;75,55639;0;WIP;(0.008,1.650,0.003);(0.005,1.650,0.002);(-0.105,1.012,-0.004);(2.155,0.785,-0.539);(2.154,0.785,-0.541);(20.253,0.500,-20.000);0,00316071;0;0,00316071;0;0,002236066;0;0,002236066;0;28,46015;0;28,46015;0;0,035607;0,2279502;0;0,8;False;1;Unknown;Unknown;0;1;False;NULL
8;0;02_Sc_CWIP_Passthrough;Passthrough;0,747759;0,036048;20170327T130614;73,64692;0,054933;Estacionario;(0.020,1.650,0.004);(0.008,1.650,0.003);(-0.088,1.027,-0.024);(2.151,0.786,-0.542);(2.155,0.785,-0.539);(20.253,0.500,-20.000);0,01252208;0;0;0,01252208;0,004999971;0;0;0,004999971;28,45236;0;0;28,45236;0,04962377;0,2279502;0,01252199;0,8;True;2;Unknown;Unknown;0;1;False;NULL
9;0;02_Sc_CWIP_Passthrough;Passthrough;0,831816;0,084057;20170327T130614;70,59609;0,054933;Estacionario;(0.016,1.650,0.001);(0.020,1.650,0.004);(-0.105,0.996,-0.006);(2.147,0.784,-0.536);(2.151,0.786,-0.542);(20.253,0.500,-20.000);0,005001307;0;0;0,005001307;0,007211059;0;0;0,007211059;28,4531;0;0;28,4531;0,06090244;0,2279502;0,01252199;0,8;True;2;Unknown;Unknown;0;1;False;NULL
10;0;02_Sc_CWIP_Passthrough;Passthrough;0,894875;0,063059;20170327T130614;68,30419;0,054933;Estacionario;(0.012,1.650,0.007);(0.016,1.650,0.001);(-0.126,1.012,-0.062);(2.152,0.784,-0.540);(2.147,0.784,-0.536);(20.253,0.500,-20.000);0,007209869;0;0;0,007209869;0,006403032;0;0;0,006403032;28,46016;0;0;28,46016;0,07265694;0,2279502;0,01252199;0,8;True;2;Unknown;Unknown;0;1;False;NULL
11;0;02_Sc_CWIP_Passthrough;Passthrough;0,928688;0,033813;20170327T130615;67,37174;0,054933;Estacionario;(0.017,1.650,0.003);(0.012,1.650,0.007);(-0.093,1.039,-0.029);(2.146,0.784,-0.536);(2.152,0.784,-0.540);(20.253,0.500,-20.000);0,006400985;0;0;0,006400985;0,007211142;0;0;0,007211142;28,45379;0;0;28,45379;0,09394922;0,2279502;0,01252199;0,8;True;2;Unknown;Unknown;0;1;False;NULL
