Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra (*)
3;5;02_Sc_CWIP_Passthrough;Passthrough;0,303019;0,033925;20170324T133851;128,0522;0;Estacionario;(0.001,1.650,0.002);(0.000,1.650,0.001);(-0.002,1.070,-0.004);(1.981,0.775,-0.848);(1.982,0.777,-0.847);(20.253,0.500,-20.000);0,001413816;0;0;0,001413816;0,001414238;0;0;0,001414238;28,46443;0;0;28,46443;0,01697991;0,1317264;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
4;5;02_Sc_CWIP_Passthrough;Passthrough;0,364915;0,061896;20170324T133851;105,3495;0;Estacionario;(0.000,1.650,0.001);(0.001,1.650,0.002);(-0.003,1.068,-0.001);(1.982,0.777,-0.847);(1.981,0.775,-0.848);(20.253,0.500,-20.000);0,001413816;0;0;0,001413816;0,001414238;0;0;0,001414238;28,46443;0;0;28,46443;0,02063942;0,1317264;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
6;5;02_Sc_CWIP_Passthrough;Passthrough;0,572745;0,097534;20170324T133851;77,79759;0;Estacionario;(0.000,1.650,0.004);(0.001,1.650,0.002);(-0.001,1.069,-0.005);(1.981,0.774,-0.845);(1.981,0.775,-0.845);(20.253,0.500,-20.000);0,002237507;0;0;0,002237507;0;0;0;0;28,46654;0;0;28,46654;0,01256586;0,1348854;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
7;5;02_Sc_CWIP_Passthrough;Passthrough;0,604131;0,031386;20170324T133851;75,55639;0;Estacionario;(0.000,1.650,0.004);(0.000,1.650,0.004);(0.001,1.068,-0.005);(1.981,0.774,-0.845);(1.981,0.774,-0.845);(20.253,0.500,-20.000);0;0;0;0;0;0;0;0;28,46654;0;0;28,46654;0,006693127;0,1348854;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
8;5;02_Sc_CWIP_Passthrough;Passthrough;0,675614;0,071483;20170324T133851;72,00908;0;Estacionario;(0.000,1.650,0.004);(0.000,1.650,0.004);(0.001,1.068,-0.005);(1.981,0.775,-0.846);(1.981,0.774,-0.845);(20.253,0.500,-20.000);0;0;0;0;0,0009999871;0;0;0,0009999871;28,46654;0;0;28,46654;0,009286497;0,1348854;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
9;5;02_Sc_CWIP_Passthrough;Passthrough;0,779034;0,10342;20170324T133851;69,37099;0;Estacionario;(0.000,1.650,0.003);(0.000,1.650,0.004);(0.001,1.067,-0.004);(1.981,0.775,-0.847);(1.981,0.775,-0.846);(20.253,0.500,-20.000);0,0009999871;0;0;0,0009999871;0,0009999871;0;0;0,0009999871;28,46584;0;0;28,46584;0,008873787;0,1348854;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
10;5;02_Sc_CWIP_Passthrough;Passthrough;0,823241;0,044207;20170324T133851;68,30419;0;Estacionario;(0.000,1.650,0.002);(0.000,1.650,0.003);(0.001,1.066,-0.003);(1.972,0.747,-0.853);(1.981,0.775,-0.847);(20.253,0.500,-20.000);0,0009999871;0;0;0,0009999871;0,0108166;0;0;0,0108166;28,46514;0;0;28,46514;0,05839124;0,1348854;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
11;5;02_Sc_CWIP_Passthrough;Passthrough;0,88907;0,065829;20170324T133851;66,55405;0;Estacionario;(-0.009,1.650,-0.004);(0.000,1.650,0.002);(-0.008,1.037,0.007);(1.963,0.714,-0.860);(1.972,0.747,-0.853);(20.253,0.500,-20.000);0,0108157;0;0;0,0108157;0,01140173;0;0;0,01140173;28,46733;0;0;28,46733;0,1043577;0,1348854;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
12;5;02_Sc_CWIP_Passthrough;Passthrough;0,989603;0,100533;20170324T133851;64,64053;0;Estacionario;(-0.018,1.650,-0.011);(-0.009,1.650,-0.004);(-0.017,1.005,0.020);(1.965,0.719,-0.860);(1.963,0.714,-0.860);(20.253,0.500,-20.000);0,01140389;0;0;0,01140389;0,001999974;0;0;0,001999974;28,46882;0;0;28,46882;0,06760065;0,08880033;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
13;5;02_Sc_CWIP_Passthrough;Passthrough;1,089256;0,099653;20170324T133851;63,31349;0;Estacionario;(-0.016,1.650,-0.011);(-0.018,1.650,-0.011);(-0.016,1.009,0.019);(1.967,0.725,-0.859);(1.965,0.719,-0.860);(20.253,0.500,-20.000);0,002002716;0;0;0,002002716;0,002236039;0;0;0,002236039;28,46739;0;0;28,46739;0,05037376;0,1078952;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
15;5;02_Sc_CWIP_Passthrough;Passthrough;1,272868;0,064888;20170324T133852;61,91331;0;Estacionario;(-0.006,1.650,-0.005);(-0.014,1.650,-0.010);(-0.008,1.042,0.009);(1.972,0.741,-0.856);(1.975,0.752,-0.854);(20.253,0.500,-20.000);0,009433518;0;0;0,009433518;0,003605587;0;0;0,003605587;28,46449;0;0;28,46449;0,0611791;0,1078952;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
16;5;02_Sc_CWIP_Passthrough;Passthrough;1,407058;0,13419;20170324T133852;61,2417;0;Estacionario;(-0.009,1.650,-0.007);(-0.006,1.650,-0.005);(-0.011,1.032,0.012);(1.975,0.752,-0.854);(1.972,0.741,-0.856);(20.253,0.500,-20.000);0,003604199;0;0;0,003604199;0,003605587;0;0;0,003605587;28,46522;0;0;28,46522;0,05342305;0,1078952;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
17;5;02_Sc_CWIP_Passthrough;Passthrough;1,473979;0,066921;20170324T133852;61,00184;0;Estacionario;(-0.006,1.650,-0.005);(-0.009,1.650,-0.007);(-0.008,1.042,0.009);(1.976,0.768,-0.848);(1.975,0.752,-0.854);(20.253,0.500,-20.000);0,003604199;0;0;0,003604199;0,006082733;0;0;0,006082733;28,46449;0;0;28,46449;0,07152291;0,1078952;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
18;5;02_Sc_CWIP_Passthrough;Passthrough;1,507842;0,033863;20170324T133852;60,90015;0;Estacionario;(-0.005,1.650,0.001);(-0.006,1.650,-0.005);(-0.003,1.060,0.000);(1.975,0.772,-0.844);(1.976,0.768,-0.848);(20.253,0.500,-20.000);0,006082655;0;0;0,006082655;0,004123096;0;0;0,004123096;28,46799;0;0;28,46799;0,06533121;0,1078952;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
19;5;02_Sc_CWIP_Passthrough;Passthrough;1,594296;0,086454;20170324T133852;60,65355;0;Estacionario;(-0.006,1.650,0.005);(-0.005,1.650,0.001);(-0.003,1.063,0.000);(1.968,0.745,-0.849);(1.975,0.772,-0.844);(20.253,0.500,-20.000);0,00412298;0;0;0,00412298;0,008602298;0;0;0,008602298;28,47151;0;0;28,47151;0,08522016;0,1078952;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
20;5;02_Sc_CWIP_Passthrough;Passthrough;1,676043;0,081747;20170324T133852;60,47503;0;Estacionario;(-0.013,1.650,0.000);(-0.006,1.650,0.005);(-0.009,1.037,0.005);(1.968,0.750,-0.847);(1.968,0.745,-0.849);(20.253,0.500,-20.000);0,008602298;0;0;0,008602298;0,001999974;0;0;0,001999974;28,47298;0;0;28,47298;0,06650008;0,1078952;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
21;5;02_Sc_CWIP_Passthrough;Passthrough;1,705238;0,029195;20170324T133852;60,42719;0;Estacionario;(-0.013,1.650,0.002);(-0.013,1.650,0.000);(-0.010,1.042,0.004);(1.970,0.755,-0.845);(1.968,0.750,-0.847);(20.253,0.500,-20.000);0,001999974;0;0;0,001999974;0,002828391;0;0;0,002828391;28,47439;0;0;28,47439;0,05776116;0,0807467;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
22;5;02_Sc_CWIP_Passthrough;Passthrough;1,797797;0,092559;20170324T133852;60,31082;0;Estacionario;(-0.011,1.650,0.004);(-0.013,1.650,0.002);(-0.008,1.048,0.004);(1.971,0.758,-0.844);(1.970,0.755,-0.845);(20.253,0.500,-20.000);0,00283033;0;0;0,00283033;0,001414195;0;0;0,001414195;28,47437;0;0;28,47437;0,03929208;0,0918662;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
23;5;02_Sc_CWIP_Passthrough;Passthrough;1,875851;0,078054;20170324T133852;60,20357;0;Estacionario;(-0.010,1.650,0.005);(-0.011,1.650,0.004);(-0.006,1.051,0.006);(1.972,0.764,-0.842);(1.971,0.758,-0.844);(20.253,0.500,-20.000);0,001413858;0;0;0,001413858;0,002236066;0;0;0,002236066;28,47436;0;0;28,47436;0,04750219;0,0918662;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
24;5;02_Sc_CWIP_Passthrough;Passthrough;1,906272;0,030421;20170324T133852;60,18315;0;Estacionario;(-0.009,1.650,0.007);(-0.010,1.650,0.005);(-0.002,1.053,0.014);(1.974,0.767,-0.840);(1.972,0.764,-0.842);(20.253,0.500,-20.000);0,002235799;0;0;0,002235799;0,002828433;0;0;0,002828433;28,47505;0;0;28,47505;0,04639884;0,0918662;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
25;5;02_Sc_CWIP_Passthrough;Passthrough;1,98979;0,083518;20170324T133852;60,1334;0;Estacionario;(-0.007,1.650,0.009);(-0.009,1.650,0.007);(-0.001,1.054,0.018);(1.976,0.771,-0.839);(1.974,0.767,-0.840);(20.253,0.500,-20.000);0,002827674;0;0;0,002827674;0,002236039;0;0;0,002236039;28,47504;0;0;28,47504;0,04359286;0,0918662;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
26;5;02_Sc_CWIP_Passthrough;Passthrough;2,11282;0,12303;20170324T133853;60,0787;0;Estacionario;(-0.005,1.650,0.010);(-0.007,1.650,0.009);(0.001,1.055,0.025);(1.978,0.775,-0.838);(1.976,0.771,-0.839);(20.253,0.500,-20.000);0,00223508;0;0;0,00223508;0,002236146;0;0;0,002236146;28,47432;0;0;28,47432;0,03721634;0,0918662;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
27;5;02_Sc_CWIP_Passthrough;Passthrough;2,178763;0,065943;20170324T133853;60,05735;0;Estacionario;(-0.003,1.650,0.011);(-0.005,1.650,0.010);(0.002,1.054,0.038);(1.978,0.775,-0.838);(1.978,0.775,-0.838);(20.253,0.500,-20.000);0,002238492;0;0;0,002238492;0;0;0;0;28,47359;0;0;28,47359;0,0198241;0,0918662;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
28;5;02_Sc_CWIP_Passthrough;Passthrough;2,2144;0,035637;20170324T133853;60,05161;0;Estacionario;(-0.003,1.650,0.011);(-0.003,1.650,0.011);(0.002,1.054,0.038);(1.978,0.777,-0.838);(1.978,0.775,-0.838);(20.253,0.500,-20.000);3,814697E-06;0;0;3,814697E-06;0;0;0;0;28,4736;0;0;28,4736;0,01055974;0,0918662;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
29;5;02_Sc_CWIP_Passthrough;Passthrough;2,324931;0,110531;20170324T133853;60,03384;0;Estacionario;(-0.003,1.650,0.011);(-0.003,1.650,0.011);(0.001,1.052,0.045);(1.979,0.778,-0.842);(1.978,0.777,-0.838);(20.253,0.500,-20.000);3,814697E-06;0;0;3,814697E-06;0,004123096;0;0;0,004123096;28,47359;0;0;28,47359;0,0419209;0,0918662;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
30;5;02_Sc_CWIP_Passthrough;Passthrough;2,409623;0,084692;20170324T133853;60,02219;0;Estacionario;(-0.002,1.650,0.007);(-0.003,1.650,0.011);(-0.001,1.051,0.046);(1.979,0.778,-0.842);(1.979,0.778,-0.842);(20.253,0.500,-20.000);0,00412298;0;0;0,00412298;0;0;0;0;28,47007;0;0;28,47007;0,02233009;0,0918662;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
31;5;02_Sc_CWIP_Passthrough;Passthrough;2,493563;0,08394;20170324T133853;60,01617;0;Estacionario;(-0.002,1.650,0.007);(-0.002,1.650,0.007);(-0.001,1.051,0.046);(1.981,0.778,-0.846);(1.979,0.778,-0.842);(20.253,0.500,-20.000);0;0;0;0;0,004472132;0;0;0,004472132;28,47007;0;0;28,47007;0,05183747;0,0918662;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
32;5;02_Sc_CWIP_Passthrough;Passthrough;2,532613;0,03905;20170324T133853;60,01456;0;Estacionario;(0.000,1.650,0.003);(-0.002,1.650,0.007);(-0.003,1.050,0.045);(1.981,0.777,-0.848);(1.981,0.778,-0.846);(20.253,0.500,-20.000);0,004471652;0;0;0,004471652;0,001999974;0;0;0,001999974;28,46584;0;0;28,46584;0,04135957;0,0918662;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
33;5;02_Sc_CWIP_Passthrough;Passthrough;2,630934;0,098321;20170324T133853;60,01061;0;Estacionario;(0.000,1.650,0.001);(0.000,1.650,0.003);(-0.003,1.051,0.045);(1.981,0.776,-0.850);(1.981,0.777,-0.848);(20.253,0.500,-20.000);0,001999974;0;0;0,001999974;0,002000034;0;0;0,002000034;28,46443;0;0;28,46443;0,03443438;0,0918662;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
