Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra
0;5;02_Sc_CWIP_Passthrough;Passthrough;0,000765;0,062813;20170324T133856;60,00002;0;WIP;(-0.013,1.650,0.012);(-0.013,1.650,0.012);(-0.027,1.075,0.023);(1.968,0.764,-0.837);(1.968,0.764,-0.837);(20.253,0.500,-20.000);0;0;0;0;0;0;0;0;28,48141;0;28,48141;0;0,006226724;0,2298515;0;0,8;False;0;Unknown;Unknown;0;1;True;Reset Human
1;5;02_Sc_CWIP_Passthrough;Passthrough;0,03342;0,032655;20170324T133856;60,00002;0,05991;WIP;(-0.002,1.650,0.020);(-0.013,1.650,0.012);(-0.016,1.075,0.031);(1.967,0.763,-0.837);(1.968,0.764,-0.837);(20.253,0.500,-20.000);0,01377094;0;0,01377094;0;0,001000047;0;0,001000047;0;28,47927;0;28,47927;0;0,0122751;0,3149536;0,01886887;0,8;False;0;Unknown;Unknown;0;1;True;NULL
2;5;02_Sc_CWIP_Passthrough;Passthrough;0,100389;0,066969;20170324T133856;60,00002;0,055956;WIP;(0.019,1.650,0.035);(-0.002,1.650,0.020);(0.006,1.075,0.048);(1.967,0.762,-0.836);(1.967,0.763,-0.837);(20.253,0.500,-20.000);0,02565607;0;0,02565607;0;0,0009999871;0;0,0009999871;0;28,47516;0;28,47516;0;0,01289152;0,3149536;0,01762354;0,8;False;0;Unknown;Unknown;0;1;True;NULL
3;5;02_Sc_CWIP_Passthrough;Passthrough;0,151996;0,051607;20170324T133856;60,00002;0,061148;WIP;(0.043,1.650,0.052);(0.019,1.650,0.035);(0.030,1.073,0.065);(1.966,0.759,-0.833);(1.967,0.762,-0.836);(20.253,0.500,-20.000);0,02941216;0;0,02941216;0;0,003162312;0;0,003162312;0;28,46964;0;28,46964;0;0,03889484;0,3149536;0,01925878;0,8;False;0;Unknown;Unknown;0;1;True;NULL
4;5;02_Sc_CWIP_Passthrough;Passthrough;0,214252;0,062256;20170324T133856;60,00002;0,053007;WIP;(0.063,1.650,0.064);(0.043,1.650,0.052);(0.051,1.070,0.079);(1.965,0.755,-0.831);(1.966,0.759,-0.833);(20.253,0.500,-20.000);0,02324961;0;0,02324961;0;0,002236066;0;0,002236066;0;28,46386;0;28,46386;0;0,03748459;0,3149536;0,01669475;0,8;False;0;Unknown;Unknown;0;1;True;NULL
6;5;02_Sc_CWIP_Passthrough;Passthrough;0,402054;0,104144;20170324T133856;60,00002;0,109517;WIP;(0.127,1.650,0.006);(0.106,1.650,0.086);(0.117,1.062,0.034);(1.963,0.750,-0.826);(1.964,0.752,-0.828);(20.253,0.500,-20.000);0,08279295;0;0,08279295;0;0,002236066;0;0,002236066;0;28,37766;0;28,37766;0;0,04752038;0,3149536;0,03449277;0,8;False;0;Unknown;Unknown;0;1;True;NULL
7;5;02_Sc_CWIP_Passthrough;Passthrough;0,435666;0,033612;20170324T133856;60,00002;0,019499;WIP;(0.128,1.650,0.000);(0.127,1.650,0.006);(0.120,1.060,0.033);(1.962,0.748,-0.825);(1.963,0.750,-0.826);(20.253,0.500,-20.000);0,006141539;0;0,006141539;0;0,001414238;0;0,001414238;0;28,3724;0;28,3724;0;0,03435219;0,3149536;0,00614128;0,8;False;0;Unknown;Unknown;0;1;True;NULL
8;5;02_Sc_CWIP_Passthrough;Passthrough;0,465854;0,030188;20170324T133856;60,00002;0,031959;WIP;(0.131,1.650,-0.010);(0.128,1.650,0.000);(0.125,1.060,0.025);(1.961,0.747,-0.824);(1.962,0.748,-0.825);(20.253,0.500,-20.000);0,01006536;0;0,01006536;0;0,001414238;0;0,001414238;0;28,36379;0;28,36379;0;0,02855548;0,3149536;0,0100656;0,8;False;0;Unknown;Unknown;0;1;True;NULL
10;5;02_Sc_CWIP_Passthrough;Passthrough;0,717261;0,083771;20170324T133856;60,00002;0,081419;WIP;(0.194,1.650,-0.229);(0.175,1.650,-0.183);(0.196,1.000,-0.166);(1.939,0.665,-0.851);(1.946,0.689,-0.843);(20.253,0.500,-20.000);0,04976916;0;0,04976916;0;0,01063014;0;0,01063014;0;28,16494;0;28,16494;0;0,1847734;0,3149536;0,02564321;0,8;False;0;Unknown;Unknown;0;1;True;NULL
11;5;02_Sc_CWIP_Passthrough;Passthrough;0,773428;0,056167;20170324T133856;60,00002;0,047109;WIP;(0.204,1.650,-0.250);(0.194,1.650,-0.229);(0.209,0.977,-0.176);(1.939,0.665,-0.851);(1.939,0.665,-0.851);(20.253,0.500,-20.000);0,02343859;0;0,02343859;0;0;0;0;0;28,14278;0;28,14278;0;0,09842361;0,3149536;0,01483715;0,8;False;0;Unknown;Unknown;0;1;True;NULL
