Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra
0;0;02_Sc_CWIP_Passthrough;Passthrough;0,003991;0,068714;20170324T134011;174,4693;0;WIP;(0.003,1.650,0.015);(0.000,1.650,0.000);(0.011,1.018,-0.001);(1.946,0.692,-0.830);(1.946,0.692,-0.830);(20.253,0.500,-20.000);0,01529672;0;0,01529672;0;0;0;0;0;28,47214;0;28,47214;0;0,01866444;0,19673;0;0,8;False;0;Unknown;Unknown;0;1;True;Reset Human
1;0;02_Sc_CWIP_Passthrough;Passthrough;0,104564;0,100573;20170324T134011;115,0079;0,13398;WIP;(0.021,1.650,-0.041);(0.003,1.650,0.015);(0.027,1.015,-0.053);(1.941,0.662,-0.849);(1.946,0.692,-0.830);(20.253,0.500,-20.000);0,05863304;0;0,05863304;0;0,01964688;0;0,01964688;0;28,41988;0;28,41988;0;0,1576164;0,19673;0,02635788;0,8;False;0;Unknown;Unknown;0;1;True;NULL
3;0;02_Sc_CWIP_Passthrough;Passthrough;0,208328;0,020321;20170324T134011;87,43941;0,027211;WIP;(0.037,1.650,-0.074);(0.035,1.650,-0.069);(0.034,0.982,-0.070);(1.943,0.674,-0.843);(1.943,0.668,-0.847);(20.253,0.500,-20.000);0,005353276;0;0,005353276;0;0,004000008;0;0,004000008;0;28,38571;0;28,38571;0;0,1019641;0,19673;0,005353219;0,8;False;0;Unknown;Unknown;0;1;True;NULL
4;0;02_Sc_CWIP_Passthrough;Passthrough;0,292082;0,083754;20170324T134011;75,55639;0,080493;WIP;(0.053,1.650,-0.112);(0.037,1.650,-0.074);(0.053,0.989,-0.112);(1.946,0.696,-0.828);(1.943,0.674,-0.843);(20.253,0.500,-20.000);0,04191247;0;0,04191247;0;0,01529705;0;0,01529705;0;28,34693;0;28,34693;0;0,216226;0,19673;0,01583539;0,8;False;0;Unknown;Unknown;0;1;True;NULL
5;0;02_Sc_CWIP_Passthrough;Passthrough;0,389559;0,097477;20170324T134011;70,59609;0,086778;WIP;(0.064,1.650,-0.142);(0.053,1.650,-0.112);(0.072,1.018,-0.158);(1.946,0.692,-0.830);(1.946,0.696,-0.828);(20.253,0.500,-20.000);0,03149772;0;0,03149772;0;0,001999974;0;0,001999974;0;28,3188;0;28,3188;0;0,1296911;0,19673;0,01707183;0,8;False;0;Unknown;Unknown;0;1;True;NULL
6;0;02_Sc_CWIP_Passthrough;Passthrough;0,427173;0,037614;20170324T134011;69,37099;0,028515;WIP;(0.065,1.650,-0.147);(0.064,1.650,-0.142);(0.071,1.015,-0.159);(1.954,0.715,-0.826);(1.946,0.692,-0.830);(20.253,0.500,-20.000);0,005609721;0;0,005609721;0;0,00894429;0;0,00894429;0;28,31381;0;28,31381;0;0,1211176;0,19673;0,005609755;0,8;False;0;Unknown;Unknown;0;1;True;NULL
7;0;02_Sc_CWIP_Passthrough;Passthrough;0,527777;0,100604;20170324T134011;66,55405;0,102681;WIP;(0.071,1.650,-0.187);(0.065,1.650,-0.147);(0.082,1.042,-0.229);(1.955,0.717,-0.828);(1.954,0.715,-0.826);(20.253,0.500,-20.000);0,04015316;0;0,04015316;0;0,002236119;0;0,002236119;0;28,28174;0;28,28174;0;0,08158838;0,19673;0,02020043;0,8;False;0;Unknown;Unknown;0;1;True;NULL
8;0;02_Sc_CWIP_Passthrough;Passthrough;0,612423;0,084646;20170324T134012;64,64053;0,074891;WIP;(0.074,1.650,-0.218);(0.071,1.650,-0.187);(0.086,1.044,-0.254);(1.957,0.719,-0.833);(1.955,0.717,-0.828);(20.253,0.500,-20.000);0,03078768;0;0,03078768;0;0,005385151;0;0,005385151;0;28,25807;0;28,25807;0;0,07564829;0,19673;0,0147333;0,8;False;0;Unknown;Unknown;0;1;True;NULL
9;0;02_Sc_CWIP_Passthrough;Passthrough;0,724736;0,112313;20170324T134012;62,96576;0,117756;WIP;(0.077,1.650,-0.276);(0.074,1.650,-0.218);(0.088,1.044,-0.287);(1.957,0.717,-0.837);(1.957,0.719,-0.833);(20.253,0.500,-20.000);0,05801725;0;0,05801725;0;0,004000008;0;0,004000008;0;28,21594;0;28,21594;0;0,07489038;0,19673;0,02316613;0,8;False;0;Unknown;Unknown;0;1;True;NULL
10;0;02_Sc_CWIP_Passthrough;Passthrough;0,86526;0,140524;20170324T134012;62,13346;0,13889;WIP;(0.078,1.650,-0.317);(0.077,1.650,-0.276);(0.086,1.042,-0.314);(1.957,0.717,-0.837);(1.957,0.717,-0.837);(20.253,0.500,-20.000);0,04170619;0;0,04170619;0;0;0;0;0;28,18576;0;28,18576;0;0,039892;0,19673;0,02732383;0,8;False;0;Unknown;Unknown;0;1;True;NULL
