Registo;Tempo Absoluto (Segundos);Tempo;FPS;Delta;Estado;Player Position (Real);Camera Position (Real);Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Num Colicoes (Objectos do Mundo Virtual);Num Embates (Indicadores de Obstaculos)
0;0,005766;20170227T181339;315,7895;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.081);0;0,45;0;0,8;0;0
1;0,069499;20170227T181339;221,4022;0;Estacionario;(0.000,1.650,0.000);(0.000,1.129,0.000);0,03044963;0,2384529;0;0,8;0;0
2;0,137446;20170227T181339;146,5166;0;Estacionario;(0.002,1.650,-0.003);(-0.001,1.127,0.002);0,02706549;0,2384529;0;0,8;0;1
3;0,2384;20170227T181339;105,3495;0;Estacionario;(0.002,1.650,-0.004);(-0.001,1.127,0.002);0,06135371;0,2384529;0;0,8;0;1
4;0,364887;20170227T181339;87,43941;0;Estacionario;(-0.002,1.650,0.001);(0.000,1.130,0.000);0,08431487;0,2384529;0;0,8;0;1
5;0,557978;20170227T181339;72,00908;0;Estacionario;(0.001,1.650,-0.006);(0.001,1.127,0.002);0,09913608;0,2384529;0;0,8;0;1
6;0,641288;20170227T181339;68,30419;0;Estacionario;(0.000,1.650,0.000);(0.000,1.129,0.000);0,06328048;0,2384529;0;0,8;0;1
7;0,744088;20170227T181339;65,20084;0;Estacionario;(0.001,1.650,-0.001);(-0.001,1.128,0.001);0,04426693;0,2384529;0;0,8;0;1
8;0,774577;20170227T181339;64,64053;0;Estacionario;(0.002,1.650,-0.002);(-0.001,1.128,0.002);0,03239714;0,2384529;0;0,8;0;1
9;0,841435;20170227T181339;63,31349;0;Estacionario;(0.002,1.650,-0.003);(-0.001,1.127,0.002);0,02507926;0,2384529;0;0,8;0;1
10;0,958812;20170227T181339;62,13346;0;Estacionario;(0.002,1.650,-0.004);(-0.001,1.127,0.002);0,02999804;0,2384529;0;0,8;0;1
11;1,012219;20170227T181340;61,54045;0;Estacionario;(0.001,1.650,-0.006);(0.001,1.127,0.002);0,05690243;0,2384529;0;0,8;0;1
12;1,076011;20170227T181340;61,2417;0;Estacionario;(-0.001,1.650,-0.005);(0.000,1.127,0.003);0,03031032;0,2384529;0;0,8;0;1
