Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra
0;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,0014949;0,0520355;20170323T192728;60,00002;0;Estacionario;(0.046,1.650,0.017);(0.037,1.650,0.009);(-0.018,1.065,0.013);(2.197,0.875,-0.914);(2.197,0.875,-0.914);(20.253,0.500,-20.000);0,01204076;0;0;0,01204076;0;0;0;0;28,44298;0;0;28,44298;0,1560423;0,3827154;0;0,8;True;1;Unknown;Unknown;0;1;True;Reset Human
1;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,1145702;0,1130753;20170323T192728;60,00002;0;Estacionario;(0.039,1.650,0.026);(0.046,1.650,0.017);(-0.007,1.075,0.008);(2.198,0.875,-0.910);(2.197,0.875,-0.914);(20.253,0.500,-20.000);0,0113994;0;0;0,0113994;0,004123038;0;0;0,004123038;28,45429;0;0;28,45429;0,125877;0,3827154;0;0,8;True;1;Unknown;Unknown;0;1;True;NULL
2;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,1706069;0,0560367;20170323T192729;60,00002;0;Estacionario;(0.040,1.650,0.030);(0.039,1.650,0.026);(-0.001,1.082,0.006);(2.194,0.873,-0.901);(2.198,0.875,-0.910);(20.253,0.500,-20.000);0,004122923;0;0;0,004122923;0,00984884;0;0;0,00984884;28,45639;0;0;28,45639;0,192256;0,3827154;0;0,8;True;1;Unknown;Unknown;0;1;True;NULL
3;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,2231417;0,0525348;20170323T192729;60,00002;0;Estacionario;(0.036,1.650,0.039);(0.040,1.650,0.030);(0.014,1.095,0.006);(2.193,0.872,-0.897);(2.194,0.873,-0.901);(20.253,0.500,-20.000);0,009847969;0;0;0,009847969;0,004123096;0;0;0,004123096;28,46557;0;0;28,46557;0,1565809;0,3827154;0;0,8;True;1;Unknown;Unknown;0;1;True;NULL
4;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,2896875;0,0665458;20170323T192729;60,00002;0;WIP;(0.035,1.650,0.043);(0.036,1.650,0.039);(0.021,1.092,0.007);(2.182,0.863,-0.892);(2.193,0.872,-0.897);(20.253,0.500,-20.000);0,004123907;0;0,004123907;0;0,01208319;0;0,01208319;0;28,4691;0;28,4691;0;0,2370106;0,4572822;0;0,8;False;1;Unknown;Unknown;0;1;True;NULL
5;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,3322143;0,0425268;20170323T192729;60,00002;0,057537;WIP;(-0.005,1.650,0.061);(0.035,1.650,0.043);(-0.010,1.082,0.019);(2.180,0.863,-0.889);(2.182,0.863,-0.892);(20.253,0.500,-20.000);0,04347197;0;0,04347197;0;0,003605488;0;0,003605488;0;28,50991;0;28,50991;0;0,1788766;0,4572822;0,02631065;0,8;False;1;Unknown;Unknown;0;1;True;NULL
6;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,4044331;0,0722188;20170323T192729;60,00002;0,0852276;WIP;(-0.057,1.650,0.085);(-0.005,1.650,0.061);(-0.064,1.077,0.044);(2.178,0.862,-0.887);(2.180,0.863,-0.889);(20.253,0.500,-20.000);0,05819082;0;0,05819082;0;0,002828475;0;0,002828475;0;28,56452;0;28,56452;0;0,1459453;0,3092388;0,02635568;0,8;False;1;Unknown;Unknown;0;1;True;NULL
7;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,4579701;0,053537;20170323T192729;60,00002;0,0640443;WIP;(-0.098,1.650,0.104);(-0.057,1.650,0.085);(-0.106,1.072,0.064);(2.176,0.862,-0.895);(2.178,0.862,-0.887);(20.253,0.500,-20.000);0,04502471;0;0,04502471;0;0,008246134;0;0,008246134;0;28,60682;0;28,60682;0;0,2254311;0,3092388;0,01980498;0,8;False;1;Unknown;Unknown;0;1;True;NULL
8;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,525013;0,0670429;20170323T192729;60,00002;0,0780523;WIP;(-0.145,1.650,0.127);(-0.098,1.650,0.104);(-0.161,1.068,0.094);(2.173,0.862,-0.900);(2.176,0.862,-0.895);(20.253,0.500,-20.000);0,05136962;0;0,05136962;0;0,005830958;0;0,005830958;0;28,6555;0;28,6555;0;0,1761233;0,3092388;0,0241368;0,8;False;1;Unknown;Unknown;0;1;True;NULL
9;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,5880547;0,0630417;20170323T192729;60,00002;0,0835556;WIP;(-0.200,1.650,0.154);(-0.145,1.650,0.127);(-0.220,1.064,0.127);(2.169,0.864,-0.905);(2.173,0.862,-0.900);(20.253,0.500,-20.000);0,06157896;0;0,06157896;0;0,006403237;0;0,006403237;0;28,71408;0;28,71408;0;0,1908648;0,3092388;0,02583864;0,8;False;1;Unknown;Unknown;0;1;True;NULL
