Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Num Embates (Indicadores de Obstaculos);Raio Embate;Raio Perigo;Raio Aviso;Raio Pre-Aviso;Indicator (Indicator Limit 0) Distance;Indicator (Indicator Limit 0) State;Indicator (Indicator Limit 0) Count Embate;Indicator (Indicator Limit 1) Distance;Indicator (Indicator Limit 1) State;Indicator (Indicator Limit 1) Count Embate;Indicator (Indicator Limit 2) Distance;Indicator (Indicator Limit 2) State;Indicator (Indicator Limit 2) Count Embate;Indicator (Indicator Limit 3) Distance;Indicator (Indicator Limit 3) State;Indicator (Indicator Limit 3) Count Embate;Indicator (Indicator Obstacle 4) Distance;Indicator (Indicator Obstacle 4) State;Indicator (Indicator Obstacle 4) Count Embate;Indicator (Indicator Obstacle 5) Distance;Indicator (Indicator Obstacle 5) State;Indicator (Indicator Obstacle 5) Count Embate;Total Embate (via dist indicadores);Id;Iniciado;Extra (*)
2;2;01_Sc_CWIP_AVR_Inicio;AVR;1,936033;0,09726;20170324T132933;60,00002;0;Estacionario;(-0.009,1.650,-0.005);(0.000,1.650,0.000);(-0.010,0.940,0.002);(2.019,0.637,-0.743);(2.030,0.610,-0.736);(20.266,0.500,-20.000);0,01029798;0;0;0,01029798;0,01303832;0;0;0,01303832;28,47588;0;0;28,47588;0,1251459;0,1278917;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5279999;Warning;0;3,528;Normal;0;2,286;Normal;0;0,714;Warning;0;2,878724;Normal;0;2,430218;Normal;0;0;1;False;NULL
3;2;01_Sc_CWIP_AVR_Inicio;AVR;2,03633;0,100297;20170324T132934;60,00002;0;Estacionario;(-0.020,1.650,-0.012);(-0.009,1.650,-0.005);(-0.023,0.966,0.002);(2.004,0.675,-0.752);(2.019,0.637,-0.743);(20.266,0.500,-20.000);0,01303651;0;0;0,01303651;0,01749295;0;0;0,01749295;28,4788;0;0;28,4788;0,1797904;0,1278917;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,517;Warning;0;3,517;Normal;0;2,293;Normal;0;0,707;Warning;0;2,872705;Normal;0;2,418962;Normal;0;0;1;False;NULL
5;2;01_Sc_CWIP_AVR_Inicio;AVR;2,236649;0,066514;20170324T132934;60,00002;0;Estacionario;(-0.037,1.650,-0.023);(-0.035,1.650,-0.021);(-0.047,1.011,-0.005);(1.998,0.690,-0.758);(2.002,0.682,-0.754);(20.266,0.500,-20.000);0,002824979;0;0;0,002824979;0,005656908;0;0;0,005656908;28,48319;0;0;28,48319;0,09692156;0,1278917;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5;Warning;0;3,5;Normal;0;2,304;Normal;0;0,696;Warning;0;2,863572;Normal;0;2,401588;Normal;0;0;1;False;NULL
6;2;01_Sc_CWIP_AVR_Inicio;AVR;2,337093;0,100444;20170324T132934;60,00002;0;Estacionario;(-0.041,1.650,-0.027);(-0.037,1.650,-0.023);(-0.051,1.021,-0.008);(2.006,0.673,-0.753);(1.998,0.690,-0.758);(20.266,0.500,-20.000);0,005658004;0;0;0,005658004;0,009433992;0;0;0,009433992;28,48324;0;0;28,48324;0,1135885;0,1278917;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,4959999;Warning;0;3,496;Normal;0;2,308;Normal;0;0,692;Warning;0;2,862154;Normal;0;2,397461;Normal;0;0;1;False;NULL
7;2;01_Sc_CWIP_AVR_Inicio;AVR;2,437558;0,100465;20170324T132934;60,00002;0;Estacionario;(-0.033,1.650,-0.022);(-0.041,1.650,-0.027);(-0.043,1.004,-0.006);(2.014,0.654,-0.749);(2.006,0.673,-0.753);(20.266,0.500,-20.000);0,009433486;0;0;0,009433486;0,008944184;0;0;0,008944184;28,48105;0;0;28,48105;0,1323188;0,1278917;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5039999;Warning;0;3,504;Normal;0;2,303;Normal;0;0,697;Warning;0;2,866515;Normal;0;2,405619;Normal;0;0;1;False;NULL
8;2;01_Sc_CWIP_AVR_Inicio;AVR;2,538511;0,100953;20170324T132934;60,00002;0;Estacionario;(-0.025,1.650,-0.018);(-0.033,1.650,-0.022);(-0.034,0.985,-0.006);(2.014,0.654,-0.749);(2.014,0.654,-0.749);(20.266,0.500,-20.000);0,008943757;0;0;0,008943757;0;0;0;0;28,47815;0;0;28,47815;0,07048148;0,1278917;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5119998;Warning;0;3,512;Normal;0;2,299;Normal;0;0,701;Warning;0;2,871401;Normal;0;2,413751;Normal;0;0;1;False;NULL
9;2;01_Sc_CWIP_AVR_Inicio;AVR;2,63894;0,100429;20170324T132934;60,00002;0;Estacionario;(-0.025,1.650,-0.018);(-0.025,1.650,-0.018);(-0.034,0.985,-0.006);(2.011,0.662,-0.750);(2.014,0.654,-0.749);(20.266,0.500,-20.000);0;0;0;0;0,003162293;0;0;0,003162293;28,47815;0;0;28,47815;0,05848718;0,1754688;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5119998;Warning;0;3,512;Normal;0;2,299;Normal;0;0,701;Warning;0;2,871401;Normal;0;2,413751;Normal;0;0;1;False;NULL
10;2;01_Sc_CWIP_AVR_Inicio;AVR;2,672238;0,033298;20170324T132934;60,00002;0;Estacionario;(-0.028,1.650,-0.019);(-0.025,1.650,-0.018);(-0.038,0.992,-0.008);(2.005,0.677,-0.754);(2.011,0.662,-0.750);(20.266,0.500,-20.000);0,00316071;0;0;0,00316071;0,007210943;0;0;0,007210943;28,47959;0;0;28,47959;0,08291452;0,3106438;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5119998;Warning;0;3,512;Normal;0;2,299;Normal;0;0,701;Warning;0;2,871401;Normal;0;2,413751;Normal;0;0;1;False;NULL
11;2;01_Sc_CWIP_AVR_Inicio;AVR;2,722208;0,04997;20170324T132934;60,00002;0;Estacionario;(-0.034,1.650,-0.023);(-0.028,1.650,-0.019);(-0.046,1.007,-0.011);(1.996,0.697,-0.759);(2.005,0.677,-0.754);(20.266,0.500,-20.000);0,007211538;0;0;0,007211538;0,01029568;0;0;0,01029568;28,48106;0;0;28,48106;0,17164;0,3106438;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,503;Warning;0;3,503;Normal;0;2,304;Normal;0;0,696;Warning;0;2,866159;Normal;0;2,404587;Normal;0;0;1;False;NULL
12;2;01_Sc_CWIP_AVR_Inicio;AVR;2,755147;0,032939;20170324T132934;60,00002;0;Estacionario;(-0.043,1.650,-0.028);(-0.034,1.650,-0.023);(-0.056,1.027,-0.014);(1.989,0.715,-0.764);(1.996,0.697,-0.759);(20.266,0.500,-20.000);0,01029464;0;0;0,01029464;0,008602395;0;0;0,008602395;28,48396;0;0;28,48396;0,1488466;0,3106438;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,503;Warning;0;3,503;Normal;0;2,304;Normal;0;0,696;Warning;0;2,866159;Normal;0;2,404587;Normal;0;0;1;False;NULL
