Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Num Embates (Indicadores de Obstaculos);Raio Embate;Raio Perigo;Raio Aviso;Raio Pre-Aviso;Indicator (Indicator Limit 0) Distance;Indicator (Indicator Limit 0) State;Indicator (Indicator Limit 0) Count Embate;Indicator (Indicator Limit 1) Distance;Indicator (Indicator Limit 1) State;Indicator (Indicator Limit 1) Count Embate;Indicator (Indicator Limit 2) Distance;Indicator (Indicator Limit 2) State;Indicator (Indicator Limit 2) Count Embate;Indicator (Indicator Limit 3) Distance;Indicator (Indicator Limit 3) State;Indicator (Indicator Limit 3) Count Embate;Indicator (Indicator Obstacle 4) Distance;Indicator (Indicator Obstacle 4) State;Indicator (Indicator Obstacle 4) Count Embate;Indicator (Indicator Obstacle 5) Distance;Indicator (Indicator Obstacle 5) State;Indicator (Indicator Obstacle 5) Count Embate;Total Embate (via dist indicadores);Id;Iniciado;Extra
0;0;01_Sc_CWIP_AVR_Inicio;AVR;0,051453;0,83554;20170327T130130;315,7895;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.000);(0.000,1.650,0.081);(2.018,0.750,-0.720);(2.018,0.750,-0.720);(20.266,0.500,-20.000);0;0;0;0;0;0;0;0;28,47298;0;0;28,47298;0;0,25;0;0,8;True;1;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;1,5;Normal;0;1,5;Normal;0;1,5;Normal;0;1,5;Normal;0;0,7727922;Warning;0;0,7727922;Warning;0;0;1;False;NULL
1;0;01_Sc_CWIP_AVR_Inicio;AVR;0,15063;0,099177;20170327T130130;221,4022;0;Direct;(0.000,1.650,0.000);(0.000,1.650,0.000);(0.000,1.027,0.000);(2.178,0.832,-0.562);(2.018,0.750,-0.720);(20.266,0.500,-20.000);0;0;0;0;0,2248645;0,2248645;0;0;28,47298;28,47298;0;0;1,710905;0;0;0,8;True;1;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;1,502;Normal;0;1,498;Normal;0;1,55;Normal;0;1,45;Normal;0;0,8072506;PreWarning;0;0,7364886;Warning;0;0;1;False;NULL
2;0;01_Sc_CWIP_AVR_Inicio;AVR;0,212668;0,062038;20170327T130130;174,4693;0;Direct;(0.160,1.650,0.158);(0.000,1.650,0.000);(0.144,1.153,0.029);(2.033,0.747,-0.696);(2.178,0.832,-0.562);(20.266,0.500,-20.000);0,2248643;0,2248643;0;0;0,197436;0,197436;0;0;28,47097;28,47097;0;0;2,386785;0;0;0,8;True;1;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;0,5719998;Warning;0;3,572;Normal;0;2,343;Normal;0;0,6569999;Warning;0;2,945407;Normal;0;2,472546;Normal;0;0;1;False;NULL
3;0;01_Sc_CWIP_AVR_Inicio;AVR;0,413868;0,2012;20170327T130130;97,94646;0;Direct;(0.015,1.650,0.024);(0.160,1.650,0.158);(0.021,1.023,0.027);(2.180,0.838,-0.562);(2.033,0.747,-0.696);(20.266,0.500,-20.000);0,1974364;0,1974364;0;0;0,1989096;0,1989096;0;0;28,47918;28,47918;0;0;3,022704;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5869999;Warning;0;3,587;Normal;0;2,319;Normal;0;0,681;Warning;0;2,946321;Normal;0;2,488098;Normal;0;0;1;False;NULL
4;0;01_Sc_CWIP_AVR_Inicio;AVR;0,597946;0,184078;20170327T130130;77,79759;0;Direct;(0.162,1.650,0.158);(0.015,1.650,0.024);(0.143,1.129,0.080);(2.156,0.817,-0.556);(2.180,0.838,-0.562);(20.266,0.500,-20.000);0,198909;0,198909;0;0;0,02473879;0,02473879;0;0;28,46956;28,46956;0;0;2,484283;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,734;Warning;0;3,734;Normal;0;2,185;Normal;0;0,815;PreWarning;0;3,012005;Normal;0;2,641366;Normal;0;0;1;False;NULL
5;0;01_Sc_CWIP_AVR_Inicio;AVR;0,698092;0,100146;20170327T130131;72,00908;0;Direct;(0.138,1.650,0.164);(0.162,1.650,0.158);(0.098,1.127,0.018);(2.024,0.752,-0.710);(2.156,0.817,-0.556);(20.266,0.500,-20.000);0,02473694;0,02473694;0;0;0,2028299;0,2028299;0;0;28,49076;28,49076;0;0;4,345146;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7099998;Warning;0;3,71;Normal;0;2,179;Normal;0;0,821;PreWarning;0;2,987885;Normal;0;2,617842;Normal;0;0;1;False;NULL
6;0;01_Sc_CWIP_AVR_Inicio;AVR;0,798571;0,100479;20170327T130131;68,30419;0;Direct;(0.006,1.650,0.010);(0.138,1.650,0.164);(0.002,1.031,0.005);(2.149,0.810,-0.565);(2.024,0.752,-0.710);(20.266,0.500,-20.000);0,2028299;0,2028299;0;0;0,1914419;0,1914419;0;0;28,47574;28,47574;0;0;5,586874;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5219998;Warning;0;3,522;Normal;0;2,26;Normal;0;0,74;Warning;0;2,860608;Normal;0;2,425352;Normal;0;0;1;False;NULL
7;0;01_Sc_CWIP_AVR_Inicio;AVR;0,898842;0,100271;20170327T130131;65,8349;0;Direct;(0.131,1.650,0.155);(0.006,1.650,0.010);(0.077,1.144,-0.033);(2.013,0.755,-0.730);(2.149,0.810,-0.565);(20.266,0.500,-20.000);0,1914419;0,1914419;0;0;0,2138247;0,2138247;0;0;28,48934;28,48934;0;0;6,554248;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7029998;Warning;0;3,703;Normal;0;2,188;Normal;0;0,812;PreWarning;0;2,985735;Normal;0;2,610233;Normal;0;0;1;False;NULL
8;0;01_Sc_CWIP_AVR_Inicio;AVR;0,999261;0,100419;20170327T130131;64,14442;0;Direct;(-0.005,1.650,-0.010);(0.131,1.650,0.155);(-0.019,1.035,-0.028);(2.148,0.811,-0.572);(2.013,0.755,-0.730);(20.266,0.500,-20.000);0,2138233;0,2138233;0;0;0,2078196;0,2078196;0;0;28,46952;28,46952;0;0;7,136415;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,5109999;Warning;0;3,511;Normal;0;2,28;Normal;0;0,72;Warning;0;2,861;Normal;0;2,413472;Normal;0;0;1;False;NULL
9;0;01_Sc_CWIP_AVR_Inicio;AVR;1,117171;0,11791;20170327T130131;62,96576;0;Direct;(0.130,1.650,0.148);(-0.005,1.650,-0.010);(0.040,1.146,-0.055);(2.012,0.756,-0.742);(2.148,0.811,-0.572);(20.266,0.500,-20.000);0,2078185;0,2078185;0;0;0,2177061;0,2177061;0;0;28,48509;28,48509;0;0;6,68203;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7019999;Warning;0;3,702;Normal;0;2,195;Normal;0;0,8049999;PreWarning;0;2,988041;Normal;0;2,608766;Normal;0;0;1;False;NULL
10;0;01_Sc_CWIP_AVR_Inicio;AVR;1,184292;0,067121;20170327T130131;62,37991;0;Direct;(-0.006,1.650,-0.022);(0.130,1.650,0.148);(-0.022,1.036,-0.042);(2.142,0.807,-0.576);(2.012,0.756,-0.742);(20.266,0.500,-20.000);0,2177072;0,2177072;0;0;0,2108458;0,2108458;0;0;28,46181;28,46181;0;0;6,71628;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,566;Warning;0;3,566;Normal;0;2,365;Normal;0;0,635;Warning;0;2,951432;Normal;0;2,466206;Normal;0;0;1;False;NULL
11;0;01_Sc_CWIP_AVR_Inicio;AVR;1,217141;0,032849;20170327T130131;62,13346;0;Direct;(0.124,1.650,0.144);(-0.006,1.650,-0.022);(0.026,1.126,-0.052);(2.140,0.805,-0.577);(2.142,0.807,-0.576);(20.266,0.500,-20.000);0,2108466;0,2108466;0;0;0,002235959;0,002235959;0;0;28,48651;28,48651;0;0;4,924843;0;0;0,8;True;1;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,51;Warning;0;3,51;Normal;0;2,292;Normal;0;0,708;Warning;0;2,86615;Normal;0;2,412004;Normal;0;0;1;False;NULL
