Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra (*)
2;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,183834;0,043281;20170327T130722;174,4693;0,073845;WIP;(0.013,1.650,0.013);(0.000,1.650,0.000);(0.028,0.988,0.045);(2.130,0.739,-0.564);(2.123,0.719,-0.598);(20.253,0.500,-20.000);0,01846086;0;0,01846086;0;0,03471313;0;0,03471313;0;28,46304;0;28,46304;0;0,3781536;0,3409623;0,02517836;0,8;False;1;Unknown;Unknown;0;1;False;NULL
3;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,276138;0,092304;20170327T130722;115,0079;0,127692;Estacionario;(0.090,1.650,0.071);(0.013,1.650,0.013);(0.117,0.998,0.059);(2.141,0.754,-0.552);(2.130,0.739,-0.564);(20.253,0.500,-20.000);0,09644245;0;0;0,09644245;0,01627878;0;0;0,01627878;28,45004;0;0;28,45004;0,3157056;0,3409623;0,04353816;0,8;True;2;Unknown;Unknown;0;1;False;NULL
4;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,359837;0,083699;20170327T130722;92,12039;0,127692;WIP;(0.101,1.650,0.083);(0.090,1.650,0.071);(0.098,1.012,0.110);(2.139,0.738,-0.570);(2.141,0.754,-0.552);(20.253,0.500,-20.000);0,01627991;0;0,01627991;0;0,01811079;0;0,01811079;0;28,45072;0;28,45072;0;0,3621494;0,3409623;0,04353816;0,8;False;2;Unknown;Unknown;0;1;False;NULL
5;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,479351;0,119514;20170327T130722;75,55639;0,134732;Estacionario;(0.205,1.650,0.188);(0.101,1.650,0.083);(0.220,1.017,0.219);(2.143,0.754,-0.557);(2.139,0.738,-0.570);(20.253,0.500,-20.000);0,1476215;0;0;0,1476215;0,01360147;0;0;0,01360147;28,45167;0;0;28,45167;0,2763464;0,3409623;0,04593853;0,8;True;3;Unknown;Unknown;0;1;False;NULL
6;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,561144;0,081793;20170327T130723;70,59609;0,134732;Estacionario;(0.209,1.650,0.201);(0.205,1.650,0.188);(0.200,1.009,0.245);(2.151,0.769,-0.545);(2.143,0.754,-0.557);(20.253,0.500,-20.000);0,01360084;0;0;0,01360084;0,01442225;0;0;0,01442225;28,45808;0;0;28,45808;0,2364726;0,3409623;0,04593853;0,8;True;3;Unknown;Unknown;0;1;False;NULL
7;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,590696;0,029552;20170327T130723;69,37099;0,134732;Estacionario;(0.217,1.650,0.213);(0.209,1.650,0.201);(0.192,0.996,0.275);(2.166,0.756,-0.559);(2.151,0.769,-0.545);(20.253,0.500,-20.000);0,01442397;0;0;0,01442397;0,02051819;0;0;0,02051819;28,46096;0;0;28,46096;0,2826949;0,3409623;0,04593853;0,8;True;3;Unknown;Unknown;0;1;False;NULL
8;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,675098;0,084402;20170327T130723;65,8349;0,134732;Estacionario;(0.232,1.650,0.199);(0.217,1.650,0.213);(0.207,0.996,0.247);(2.179,0.743,-0.565);(2.166,0.756,-0.559);(20.253,0.500,-20.000);0,02051784;0;0;0,02051784;0,01431782;0;0;0,01431782;28,44046;0;0;28,44046;0,2835661;0,3409623;0,04593853;0,8;True;3;Unknown;Unknown;0;1;False;NULL
9;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,792513;0,117415;20170327T130723;63,70439;0,134732;Direct;(0.245,1.650,0.193);(0.232,1.650,0.199);(0.218,0.999,0.220);(2.125,0.725,-0.603);(2.179,0.743,-0.565);(20.253,0.500,-20.000);0,01431826;0,01431826;0;0;0,06603021;0,06603021;0;0;28,42704;28,42704;0;0;1,325296;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
10;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,876553;0,08404;20170327T130723;62,65606;0,134732;Direct;(0.191,1.650,0.155);(0.245,1.650,0.193);(0.200,1.004,0.177);(2.060,0.735,-0.604);(2.125,0.725,-0.603);(20.253,0.500,-20.000);0,06603099;0,06603099;0;0;0,06500775;0,06500775;0;0;28,43814;28,43814;0;0;1,626355;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
11;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,91376;0,037207;20170327T130723;62,37991;0,134732;Direct;(0.126,1.650,0.154);(0.191,1.650,0.155);(0.198,1.025,0.151);(2.169,0.750,-0.560);(2.060,0.735,-0.604);(20.253,0.500,-20.000);0,06501013;0,06501013;0;0;0,1175457;0,1175457;0;0;28,48332;28,48332;0;0;2,271095;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
12;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,980802;0,067042;20170327T130723;61,91331;0,134732;Direct;(0.235,1.650,0.198);(0.126,1.650,0.154);(0.207,1.002,0.227);(1.979,0.753,-0.598);(2.169,0.750,-0.560);(20.253,0.500,-20.000);0,1175468;0,1175468;0;0;0,1937627;0,1937627;0;0;28,43764;28,43764;0;0;3,597443;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
13;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,081209;0,100407;20170327T130723;61,2417;0,134732;Direct;(0.045,1.650,0.160);(0.235,1.650,0.198);(0.197,1.052,0.124);(1.954,0.761,-0.593);(1.979,0.753,-0.598);(20.253,0.500,-20.000);0,1937614;0,1937614;0;0;0,02549507;0,02549507;0;0;28,54485;28,54485;0;0;2,848422;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
14;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,113437;0,032228;20170327T130723;61,11523;0,134732;Direct;(0.020,1.650,0.165);(0.045,1.650,0.160);(0.197,1.061,0.118);(1.979,0.753,-0.598);(1.954,0.761,-0.593);(20.253,0.500,-20.000);0,02549659;0,02549659;0;0;0,02549507;0,02549507;0;0;28,56609;28,56609;0;0;2,316417;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
15;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,21038;0,096943;20170327T130723;60,72705;0,134732;Direct;(0.045,1.650,0.160);(0.020,1.650,0.165);(0.197,1.052,0.124);(1.966,0.768,-0.582);(1.979,0.753,-0.598);(20.253,0.500,-20.000);0,02549659;0,02549659;0;0;0,02061551;0,02061551;0;0;28,54485;28,54485;0;0;1,936719;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
16;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,266543;0,056163;20170327T130723;60,52828;0,134732;Direct;(0.032,1.650,0.176);(0.045,1.650,0.160);(0.203,1.060,0.126);(2.058,0.756,-0.571);(1.966,0.768,-0.582);(20.253,0.500,-20.000);0,02061581;0,02061581;0;0;0,09265541;0,09265541;0;0;28,56536;28,56536;0;0;2,619952;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
17;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,294604;0,028061;20170327T130723;60,47503;0,134732;Direct;(0.124,1.650,0.187);(0.032,1.650,0.176);(0.219,1.039,0.161);(2.156,0.746,-0.556);(2.058,0.756,-0.571);(20.253,0.500,-20.000);0,09265812;0,09265812;0;0;0,09914112;0,09914112;0;0;28,50809;28,50809;0;0;3,017865;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
18;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,379309;0,084705;20170327T130723;60,31082;0,134732;Direct;(0.222,1.650,0.202);(0.124,1.650,0.187);(0.222,1.012,0.200);(2.076,0.753,-0.571);(2.156,0.746,-0.556);(20.253,0.500,-20.000);0,09913712;0,09913712;0;0;0,08139402;0,08139402;0;0;28,44963;28,44963;0;0;4,61922;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
19;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,482058;0,102749;20170327T130723;60,16478;0,134732;Direct;(0.142,1.650,0.187);(0.222,1.650,0.202);(0.205,1.032,0.167);(2.085,0.739,-0.592);(2.076,0.753,-0.571);(20.253,0.500,-20.000);0,08139215;0,08139215;0;0;0,02284737;0,02284737;0;0;28,49539;28,49539;0;0;3,736949;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
20;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,515489;0,033431;20170327T130724;60,14826;0,134732;Direct;(0.151,1.650,0.166);(0.142,1.650,0.187);(0.200,1.021,0.168);(2.063,0.743,-0.593);(2.085,0.739,-0.592);(20.253,0.500,-20.000);0,0228469;0,0228469;0;0;0,02202279;0,02202279;0;0;28,47416;28,47416;0;0;2,960505;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
21;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,600803;0,085314;20170327T130724;60,09718;0,134732;Direct;(0.129,1.650,0.165);(0.151,1.650,0.166);(0.200,1.027,0.163);(2.076,0.753,-0.571);(2.063,0.743,-0.593);(20.253,0.500,-20.000);0,02202207;0,02202207;0;0;0,02555388;0,02555388;0;0;28,48899;28,48899;0;0;2,368882;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
22;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,629453;0,02865;20170327T130724;60,08745;0,134732;Direct;(0.142,1.650,0.187);(0.129,1.650,0.165);(0.205,1.032,0.167);(2.085,0.739,-0.592);(2.076,0.753,-0.571);(20.253,0.500,-20.000);0,02555413;0,02555413;0;0;0,02284737;0,02284737;0;0;28,49539;28,49539;0;0;1,979843;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
23;6;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,713611;0,084158;20170327T130724;60,05735;0,134732;Direct;(0.151,1.650,0.166);(0.142,1.650,0.187);(0.200,1.021,0.168);(2.108,0.736,-0.617);(2.085,0.739,-0.592);(20.253,0.500,-20.000);0,0228484;0,0228484;0;0;0,03397056;0,03397056;0;0;28,47416;28,47416;0;0;1,813131;0;0;0,8;True;3;Unknown;Unknown;0;1;False;NULL
