Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Num Embates (Indicadores de Obstaculos);Raio Embate;Raio Perigo;Raio Aviso;Raio Pre-Aviso;Indicator (Indicator Limit 0) Distance;Indicator (Indicator Limit 0) State;Indicator (Indicator Limit 0) Count Embate;Indicator (Indicator Limit 1) Distance;Indicator (Indicator Limit 1) State;Indicator (Indicator Limit 1) Count Embate;Indicator (Indicator Limit 2) Distance;Indicator (Indicator Limit 2) State;Indicator (Indicator Limit 2) Count Embate;Indicator (Indicator Limit 3) Distance;Indicator (Indicator Limit 3) State;Indicator (Indicator Limit 3) Count Embate;Indicator (Indicator Obstacle 4) Distance;Indicator (Indicator Obstacle 4) State;Indicator (Indicator Obstacle 4) Count Embate;Indicator (Indicator Obstacle 5) Distance;Indicator (Indicator Obstacle 5) State;Indicator (Indicator Obstacle 5) Count Embate;Total Embate (via dist indicadores);Id;Iniciado;Extra (*)
2;6;02_Sc_CWIP_AVR;AVR;0,221409;0,043265;20170327T130358;174,4693;0;Estacionario;(0.001,1.650,0.000);(0.000,1.650,0.000);(-0.036,1.129,-0.078);(2.238,0.870,-0.535);(2.238,0.870,-0.534);(20.266,0.500,-20.000);0,0009994507;0;0;0,0009994507;0,001000047;0;0;0,001000047;28,47227;0;0;28,47227;0,008995917;0,1391509;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7359998;Warning;0;3,736;Normal;0;2,084;Normal;0;0,916;PreWarning;0;2,969402;Normal;0;2,651881;Normal;0;0;1;False;NULL
3;6;02_Sc_CWIP_AVR;AVR;0,322105;0,100696;20170327T130358;115,0079;0;Estacionario;(0.001,1.650,-0.001);(0.001,1.650,0.000);(-0.025,1.143,-0.050);(2.237,0.867,-0.534);(2.238,0.870,-0.535);(20.266,0.500,-20.000);0,001000047;0;0;0,001000047;0,001414195;0;0;0,001414195;28,47157;0;0;28,47157;0,01416704;0,1391509;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7919998;Warning;0;3,792;Normal;0;2,158;Normal;0;0,8419999;PreWarning;0;3,051933;Normal;0;2,70116;Normal;0;0;1;False;NULL
5;6;02_Sc_CWIP_AVR;AVR;0,422658;0,067159;20170327T130358;92,12039;0;Estacionario;(0.001,1.650,0.000);(0.000,1.650,0.000);(-0.010,1.174,-0.010);(2.238,0.871,-0.534);(2.238,0.871,-0.534);(20.266,0.500,-20.000);0,0009994507;0;0;0,0009994507;0;0;0;0;28,47227;0;0;28,47227;0,008447271;0,1391509;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7359998;Warning;0;3,736;Normal;0;2,084;Normal;0;0,916;PreWarning;0;2,969402;Normal;0;2,651881;Normal;0;0;1;False;NULL
6;6;02_Sc_CWIP_AVR;AVR;0,507111;0,084453;20170327T130358;80,44907;0;Estacionario;(0.001,1.650,0.000);(0.001,1.650,0.000);(-0.001,1.168,-0.015);(2.238,0.871,-0.533);(2.238,0.871,-0.534);(20.266,0.500,-20.000);0;0;0;0;0,0009999871;0;0;0,0009999871;28,47227;0;0;28,47227;0,01136033;0,1391509;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7919998;Warning;0;3,792;Normal;0;2,157;Normal;0;0,843;PreWarning;0;3,051494;Normal;0;2,701236;Normal;0;0;1;False;NULL
7;6;02_Sc_CWIP_AVR;AVR;0,539731;0,03262;20170327T130358;77,79759;0;Estacionario;(0.001,1.650,0.001);(0.001,1.650,0.000);(-0.004,1.178,0.002);(2.237,0.868,-0.534);(2.238,0.871,-0.533);(20.266,0.500,-20.000);0,0009999871;0;0;0,0009999871;0,001414153;0;0;0,001414153;28,47297;0;0;28,47297;0,01609756;0,1391509;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7919998;Warning;0;3,792;Normal;0;2,156;Normal;0;0,844;PreWarning;0;3,051056;Normal;0;2,701312;Normal;0;0;1;False;NULL
8;6;02_Sc_CWIP_AVR;AVR;0,606994;0,067263;20170327T130358;72,00908;0;Estacionario;(0.000,1.650,0.000);(0.001,1.650,0.001);(-0.028,1.135,-0.097);(2.238,0.869,-0.531);(2.237,0.868,-0.534);(20.266,0.500,-20.000);0,001413816;0;0;0,001413816;0,003162218;0;0;0,003162218;28,47298;0;0;28,47298;0,03282355;0,1391509;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7909999;Warning;0;3,791;Normal;0;2,157;Normal;0;0,843;PreWarning;0;3,050596;Normal;0;2,700239;Normal;0;0;1;False;NULL
9;6;02_Sc_CWIP_AVR;AVR;0,640234;0,03324;20170327T130358;70,59609;0;Estacionario;(0.001,1.650,0.003);(0.000,1.650,0.000);(-0.004,1.202,0.045);(2.238,0.870,-0.534);(2.238,0.869,-0.531);(20.266,0.500,-20.000);0,003162067;0;0;0,003162067;0,002999961;0;0;0,002999961;28,47438;0;0;28,47438;0,03821272;0,1391509;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7359998;Warning;0;3,736;Normal;0;2,081;Normal;0;0,919;PreWarning;0;2,96812;Normal;0;2,652183;Normal;0;0;1;False;NULL
10;6;02_Sc_CWIP_AVR;AVR;0,740898;0,100664;20170327T130358;66,55405;0;Estacionario;(0.001,1.650,0.000);(0.001,1.650,0.003);(-0.036,1.129,-0.078);(2.238,0.871,-0.534);(2.238,0.870,-0.534);(20.266,0.500,-20.000);0,002999961;0;0;0,002999961;0;0;0;0;28,47227;0;0;28,47227;0,02035482;0,1391509;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7919998;Warning;0;3,792;Normal;0;2,157;Normal;0;0,843;PreWarning;0;3,051494;Normal;0;2,701236;Normal;0;0;1;False;NULL
11;6;02_Sc_CWIP_AVR;AVR;0,824769;0,083871;20170327T130358;64,64053;0;Estacionario;(0.001,1.650,0.000);(0.001,1.650,0.000);(-0.026,1.147,-0.053);(2.238,0.868,-0.530);(2.238,0.871,-0.534);(20.266,0.500,-20.000);0;0;0;0;0,004000008;0;0;0,004000008;28,47227;0;0;28,47227;0,04752054;0,1391509;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7919998;Warning;0;3,792;Normal;0;2,157;Normal;0;0,843;PreWarning;0;3,051494;Normal;0;2,701236;Normal;0;0;1;False;NULL
13;6;02_Sc_CWIP_AVR;AVR;0,94477;0,086683;20170327T130358;62,96576;0;Estacionario;(0.001,1.650,0.000);(0.001,1.650,0.004);(-0.010,1.174,-0.010);(2.238,0.867,-0.531);(2.238,0.871,-0.534);(20.266,0.500,-20.000);0,004000008;0;0;0,004000008;0,002999961;0;0;0,002999961;28,47227;0;0;28,47227;0,04712418;0,1391509;0;0,8;False;0;Unknown;Unknown;0;1;0,1;0,4;0,8;1,2;0,7919998;Warning;0;3,792;Normal;0;2,157;Normal;0;0,843;PreWarning;0;3,051494;Normal;0;2,701236;Normal;0;0;1;False;NULL
