Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra
0;4;02_Sc_CWIP_Passthrough;Passthrough;0,046145;1,340986;20170327T130656;315,7895;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.000);(0.000,1.650,0.081);(2.141,0.751,-0.576);(2.141,0.751,-0.576);(20.253,0.500,-20.000);0;0;0;0;0;0;0;0;28,46373;0;0;28,46373;0;0,25;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
1;4;02_Sc_CWIP_Passthrough;Passthrough;0,166039;0,119894;20170327T130656;221,4022;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.000);(0.000,1.005,0.000);(2.155,0.758,-0.563);(2.141,0.751,-0.576);(20.253,0.500,-20.000);0;0;0;0;0,0191049;0;0;0,0191049;28,46373;0;0;28,46373;0,06929957;0,25;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
2;4;02_Sc_CWIP_Passthrough;Passthrough;0,197498;0,031459;20170327T130656;174,4693;0;Estacionario;(0.014,1.650,0.013);(0.000,1.650,0.000);(0.001,1.004,-0.008);(2.144,0.751,-0.574);(2.155,0.758,-0.563);(20.253,0.500,-20.000);0,0191049;0;0;0,0191049;0,01555627;0;0;0,01555627;28,46291;0;0;28,46291;0,1646926;0,1448238;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
3;4;02_Sc_CWIP_Passthrough;Passthrough;0,228604;0,031106;20170327T130656;146,5166;0;Estacionario;(0.003,1.650,0.002);(0.014,1.650,0.013);(-0.003,1.004,0.004);(2.150,0.755,-0.565);(2.144,0.751,-0.574);(20.253,0.500,-20.000);0,01555746;0;0;0,01555746;0,01081668;0;0;0,01081668;28,46301;0;0;28,46301;0,1658175;0,1448238;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
4;4;02_Sc_CWIP_Passthrough;Passthrough;0,263183;0,034579;20170327T130656;128,0522;0;Estacionario;(0.009,1.650,0.011);(0.003,1.650,0.002);(-0.021,0.991,0.001);(2.145,0.740,-0.554);(2.150,0.755,-0.565);(20.253,0.500,-20.000);0,01081906;0;0;0,01081906;0,01208307;0;0;0,01208307;28,46506;0;0;28,46506;0,1722087;0,6164565;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
5;4;02_Sc_CWIP_Passthrough;Passthrough;0,345945;0,082762;20170327T130656;97,94646;0;Estacionario;(0.004,1.650,0.022);(0.009,1.650,0.011);(0.042,1.020,-0.044);(2.148,0.755,-0.564);(2.145,0.740,-0.554);(20.253,0.500,-20.000);0,01208505;0;0;0,01208505;0,0104403;0;0;0,0104403;28,47635;0;0;28,47635;0,1584056;0,3926491;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
6;4;02_Sc_CWIP_Passthrough;Passthrough;0,375016;0,029071;20170327T130656;92,12039;0;Estacionario;(0.007,1.650,0.012);(0.004,1.650,0.022);(-0.009,1.000,-0.007);(2.154,0.744,-0.552);(2.148,0.755,-0.564);(20.253,0.500,-20.000);0,01044092;0;0;0,01044092;0,01341645;0;0;0,01341645;28,46718;0;0;28,46718;0,1952845;0,3926491;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
7;4;02_Sc_CWIP_Passthrough;Passthrough;0,428874;0,053858;20170327T130656;80,44907;0;Estacionario;(0.013,1.650,0.024);(0.007,1.650,0.012);(0.029,1.014,-0.030);(2.146,0.754,-0.563);(2.154,0.744,-0.552);(20.253,0.500,-20.000);0,01341666;0;0;0,01341666;0,01360158;0;0;0,01360158;28,47136;0;0;28,47136;0,2519351;0,3926491;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
8;4;02_Sc_CWIP_Passthrough;Passthrough;0,459138;0,030264;20170327T130656;77,79759;0;Estacionario;(0.005,1.650,0.013);(0.013,1.650,0.024);(0.004,1.006,-0.016);(2.152,0.735,-0.549);(2.146,0.754,-0.563);(20.253,0.500,-20.000);0,01360116;0;0;0,01360116;0,01523156;0;0;0,01523156;28,46931;0;0;28,46931;0,2596845;0,3926491;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
9;4;02_Sc_CWIP_Passthrough;Passthrough;0,542957;0,083819;20170327T130657;72,00908;0;Estacionario;(0.011,1.650,0.027);(0.005,1.650,0.013);(0.046,1.007,-0.048);(2.155,0.758,-0.563);(2.152,0.735,-0.549);(20.253,0.500,-20.000);0,01523025;0;0;0,01523025;0,01431782;0;0;0,01431782;28,47489;0;0;28,47489;0,2412721;0,4514127;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
10;4;02_Sc_CWIP_Passthrough;Passthrough;0,563528;0,020571;20170327T130657;70,59609;0;Estacionario;(0.014,1.650,0.013);(0.011,1.650,0.027);(0.001,1.004,-0.008);(2.154,0.737,-0.549);(2.155,0.758,-0.563);(20.253,0.500,-20.000);0,01431827;0;0;0,01431827;0,01403566;0;0;0,01403566;28,46291;0;0;28,46291;0,3203691;1,281354;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
11;4;02_Sc_CWIP_Passthrough;Passthrough;0,680335;0,116807;20170327T130657;66,55405;0;Estacionario;(0.013,1.650,0.027);(0.014,1.650,0.013);(0.029,1.014,-0.025);(2.154,0.735,-0.550);(2.154,0.737,-0.549);(20.253,0.500,-20.000);0,01403563;0;0;0,01403563;0,0009999871;0;0;0,0009999871;28,47347;0;0;28,47347;0,177524;1,281354;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
12;4;02_Sc_CWIP_Passthrough;Passthrough;0,743859;0,063524;20170327T130657;65,20084;0;Estacionario;(0.013,1.650,0.026);(0.013,1.650,0.027);(0.027,1.003,-0.031);(2.154,0.736,-0.550);(2.154,0.735,-0.550);(20.253,0.500,-20.000);0,0009999871;0;0;0,0009999871;0;0;0;0;28,47276;0;0;28,47276;0,09456204;1,281354;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
13;4;02_Sc_CWIP_Passthrough;Passthrough;0,765266;0,021407;20170327T130657;64,64053;0;Estacionario;(0.013,1.650,0.026);(0.013,1.650,0.026);(0.023,1.005,-0.023);(2.152,0.735,-0.549);(2.154,0.736,-0.550);(20.253,0.500,-20.000);0;0;0;0;0,002236146;0;0;0,002236146;28,47276;0;0;28,47276;0,07901189;1,281354;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
14;4;02_Sc_CWIP_Passthrough;Passthrough;0,84779;0,082524;20170327T130657;62,96576;0;Estacionario;(0.011,1.650,0.027);(0.013,1.650,0.026);(0.046,1.007,-0.048);(2.153,0.734,-0.548);(2.152,0.735,-0.549);(20.253,0.500,-20.000);0,00223508;0;0;0,00223508;0,001414364;0;0;0,001414364;28,47489;0;0;28,47489;0,05815985;1,281354;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
15;4;02_Sc_CWIP_Passthrough;Passthrough;0,882781;0,034991;20170327T130657;62,65606;0;Estacionario;(0.012,1.650,0.028);(0.011,1.650,0.027);(0.025,1.010,-0.022);(2.154,0.736,-0.548);(2.153,0.734,-0.548);(20.253,0.500,-20.000);0,001413858;0;0;0,001413858;0,0009999275;0;0;0,0009999275;28,47488;0;0;28,47488;0,03709183;1,281354;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
16;4;02_Sc_CWIP_Passthrough;Passthrough;0,964887;0,082106;20170327T130657;61,91331;0;Estacionario;(0.013,1.650,0.028);(0.012,1.650,0.028);(0.029,1.013,-0.024);(2.153,0.736,-0.555);(2.154,0.736,-0.548);(20.253,0.500,-20.000);0,0009994507;0;0;0,0009994507;0,007071086;0;0;0,007071086;28,47417;0;0;28,47417;0,06684386;0,5794305;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
17;4;02_Sc_CWIP_Passthrough;Passthrough;1,078648;0,113761;20170327T130657;61,2417;0;Estacionario;(0.012,1.650,0.021);(0.013,1.650,0.028);(0.017,1.010,-0.019);(2.154,0.739,-0.556);(2.153,0.736,-0.555);(20.253,0.500,-20.000);0,007071019;0;0;0,007071019;0,001414153;0;0;0,001414153;28,46996;0;0;28,46996;0,05010339;0,7087572;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
18;4;02_Sc_CWIP_Passthrough;Passthrough;1,162441;0,083793;20170327T130657;60,90015;0;Estacionario;(0.013,1.650,0.020);(0.012,1.650,0.021);(0.013,1.009,-0.011);(2.155,0.737,-0.560);(2.154,0.739,-0.556);(20.253,0.500,-20.000);0,001413816;0;0;0,001413816;0,004123096;0;0;0,004123096;28,46854;0;0;28,46854;0,07839701;0,7087572;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
19;4;02_Sc_CWIP_Passthrough;Passthrough;1,266992;0,104551;20170327T130657;60,47503;0;Direct;(0.014,1.650,0.016);(0.013,1.650,0.020);(0.007,1.004,-0.019);(2.204,0.752,-0.549);(2.155,0.737,-0.560);(20.253,0.500,-20.000);0,00412298;0,00412298;0;0;0,05021954;0,05021954;0;0;28,46502;28,46502;0;0;0,8397706;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
20;4;02_Sc_CWIP_Passthrough;Passthrough;1,370781;0,103789;20170327T130657;60,34555;0;Direct;(0.063,1.650,0.027);(0.014,1.650,0.016);(0.059,1.010,0.012);(2.255,0.769,-0.535);(2.204,0.752,-0.549);(20.253,0.500,-20.000);0,0502193;0,0502193;0;0;0,05288678;0,05288678;0;0;28,43795;28,43795;0;0;1,062837;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
21;4;02_Sc_CWIP_Passthrough;Passthrough;1,40034;0,029559;20170327T130657;60,31082;0;Direct;(0.114,1.650,0.041);(0.063,1.650,0.027);(0.117,1.017,0.043);(2.241,0.766,-0.538);(2.255,0.769,-0.535);(20.253,0.500,-20.000);0,05288541;0,05288541;0;0;0,01431799;0,01431799;0;0;28,41164;28,41164;0;0;0,9395306;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
22;4;02_Sc_CWIP_Passthrough;Passthrough;1,467271;0,066931;20170327T130657;60,20357;0;Direct;(0.100,1.650,0.038);(0.114,1.650,0.041);(0.103,1.016,0.035);(2.153,0.738,-0.562);(2.241,0.766,-0.538);(20.253,0.500,-20.000);0,01431775;0,01431775;0;0;0,09121386;0,09121386;0;0;28,41945;28,41945;0;0;2,366037;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
23;4;02_Sc_CWIP_Passthrough;Passthrough;1,497903;0,030632;20170327T130658;60,18315;0;Direct;(0.012,1.650,0.014);(0.100,1.650,0.038);(0.005,1.010,-0.015);(2.154,0.738,-0.558);(2.153,0.738,-0.562);(20.253,0.500,-20.000);0,09121156;0,09121156;0;0;0,004123038;0,004123038;0;0;28,46503;28,46503;0;0;1,766814;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
24;4;02_Sc_CWIP_Passthrough;Passthrough;1,551382;0,053479;20170327T130658;60,14826;0;Direct;(0.013,1.650,0.018);(0.012,1.650,0.014);(0.009,1.007,-0.016);(2.154,0.736,-0.554);(2.154,0.738,-0.558);(20.253,0.500,-20.000);0,004122;0,004122;0;0;0,004000008;0,004000008;0;0;28,46714;28,46714;0;0;1,343616;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
25;4;02_Sc_CWIP_Passthrough;Passthrough;1,581259;0,029877;20170327T130658;60,1334;0;Direct;(0.013,1.650,0.022);(0.013,1.650,0.018);(0.015,1.006,-0.016);(2.166,0.742,-0.557);(2.154,0.736,-0.554);(20.253,0.500,-20.000);0,00400001;0,00400001;0;0;0,01236916;0,01236916;0;0;28,46995;28,46995;0;0;1,125968;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
26;4;02_Sc_CWIP_Passthrough;Passthrough;1,665107;0,083848;20170327T130658;60,0787;0;Direct;(0.025,1.650,0.019);(0.013,1.650,0.022);(0.022,0.999,-0.013);(2.151,0.738,-0.563);(2.166,0.742,-0.557);(20.253,0.500,-20.000);0,01236661;0,01236661;0;0;0,01615539;0,01615539;0;0;28,45931;28,45931;0;0;1,136224;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
27;4;02_Sc_CWIP_Passthrough;Passthrough;1,685199;0,020092;20170327T130658;60,07082;0;Direct;(0.010,1.650,0.013);(0.025,1.650,0.019);(0.000,1.003,-0.020);(2.255,0.769,-0.535);(2.151,0.738,-0.563);(20.253,0.500,-20.000);0,0161514;0,0161514;0;0;0,1077034;0,1077034;0;0;28,46575;28,46575;0;0;2,509313;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
28;4;02_Sc_CWIP_Passthrough;Passthrough;1,769053;0,083854;20170327T130658;60,04644;0;Direct;(0.114,1.650,0.041);(0.010,1.650,0.013);(0.117,1.017,0.043);(2.241,0.766,-0.538);(2.255,0.769,-0.535);(20.253,0.500,-20.000);0,1076997;0,1076997;0;0;0,01431799;0,01431799;0;0;28,41164;28,41164;0;0;2,039447;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
29;4;02_Sc_CWIP_Passthrough;Passthrough;1,802755;0,033702;20170327T130658;60,04179;0;Direct;(0.100,1.650,0.038);(0.114,1.650,0.041);(0.103,1.016,0.035);(2.119,0.731,-0.567);(2.241,0.766,-0.538);(20.253,0.500,-20.000);0,01431402;0,01431402;0;0;0,1253993;0,1253993;0;0;28,41944;28,41944;0;0;2,64922;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
30;4;02_Sc_CWIP_Passthrough;Passthrough;1,888441;0,085686;20170327T130658;60,03046;0;Direct;(-0.022,1.650,0.009);(0.100,1.650,0.038);(-0.010,0.997,-0.039);(2.124,0.730,-0.564);(2.119,0.731,-0.567);(20.253,0.500,-20.000);0,125401;0,125401;0;0;0,00583103;0,00583103;0;0;28,48571;28,48571;0;0;1,985899;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
31;4;02_Sc_CWIP_Passthrough;Passthrough;1,974637;0,086196;20170327T130658;60,02219;0;Direct;(-0.017,1.650,0.012);(-0.022,1.650,0.009);(-0.003,0.996,-0.034);(2.130,0.729,-0.559);(2.124,0.730,-0.564);(20.253,0.500,-20.000);0,005831848;0,005831848;0;0;0,007810279;0,007810279;0;0;28,48426;28,48426;0;0;1,556595;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
32;4;02_Sc_CWIP_Passthrough;Passthrough;2,000118;0,025481;20170327T130658;60,01997;0;Direct;(-0.011,1.650,0.017);(-0.017,1.650,0.012);(0.008,0.997,-0.035);(2.134,0.727,-0.559);(2.130,0.729,-0.559);(20.253,0.500,-20.000);0,007807715;0,007807715;0;0;0,003999949;0,003999949;0;0;28,48351;28,48351;0;0;1,198981;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
33;4;02_Sc_CWIP_Passthrough;Passthrough;2,088118;0,088;20170327T130658;60,0131;0;Direct;(-0.007,1.650,0.017);(-0.011,1.650,0.017);(0.009,0.996,-0.039);(2.149,0.730,-0.557);(2.134,0.727,-0.559);(20.253,0.500,-20.000);0,004001617;0,004001617;0;0;0,01513262;0,01513262;0;0;28,48066;28,48066;0;0;1,019201;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
34;4;02_Sc_CWIP_Passthrough;Passthrough;2,117504;0,029386;20170327T130658;60,0118;0;Direct;(0.008,1.650,0.019);(-0.007,1.650,0.017);(0.017,0.993,-0.032);(2.119,0.731,-0.567);(2.149,0.730,-0.557);(20.253,0.500,-20.000);0,01513215;0,01513215;0;0;0,03162275;0,03162275;0;0;28,4714;28,4714;0;0;1,082923;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
