Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra
0;4;02_Sc_CWIP_Passthrough;Passthrough;0,000984;0,097977;20170324T133928;60,00143;0;WIP;(-0.003,1.650,0.032);(-0.004,1.650,0.030);(0.001,1.025,0.013);(1.948,0.707,-0.816);(1.948,0.707,-0.816);(20.253,0.500,-20.000);0,00223756;0;0,00223756;0;0;0;0;0;28,48836;0;28,48836;0;0,03398007;0,1631355;0;0,8;False;0;Unknown;Unknown;0;1;True;Reset Human
1;4;02_Sc_CWIP_Passthrough;Passthrough;0,104156;0,103172;20170324T133929;60,00105;0,099445;Estacionario;(0.005,1.650,0.001);(-0.003,1.650,0.032);(0.010,1.030,-0.024);(1.950,0.714,-0.815);(1.948,0.707,-0.816);(20.253,0.500,-20.000);0,03215214;0;0;0,03215214;0,002236146;0;0;0,002236146;28,46059;0;0;28,46059;0,03253105;0,1631355;0,01622301;0,8;False;0;Unknown;Unknown;0;1;True;NULL
2;4;02_Sc_CWIP_Passthrough;Passthrough;0,167438;0,063282;20170324T133929;60,00085;0,099445;Estacionario;(0.007,1.650,0.002);(0.005,1.650,0.001);(0.010,1.040,-0.028);(1.950,0.714,-0.815);(1.950,0.714,-0.815);(20.253,0.500,-20.000);0,002238493;0;0;0,002238493;0;0;0;0;28,45987;0;0;28,45987;0,01732838;0,1631355;0,01622301;0,8;False;0;Unknown;Unknown;0;1;True;NULL
3;4;02_Sc_CWIP_Passthrough;Passthrough;0,187902;0,020464;20170324T133929;60,00076;0,099445;Estacionario;(0.007,1.650,0.002);(0.007,1.650,0.002);(0.010,1.040,-0.028);(1.948,0.698,-0.828);(1.950,0.714,-0.815);(20.253,0.500,-20.000);3,814697E-06;0;0;3,814697E-06;0,01315297;0;0;0,01315297;28,45987;0;0;28,45987;0,1596244;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
4;4;02_Sc_CWIP_Passthrough;Passthrough;0,221071;0,033169;20170324T133929;60,00069;0,099445;Estacionario;(0.005,1.650,-0.011);(0.007,1.650,0.002);(0.007,1.021,-0.023);(1.949,0.702,-0.828);(1.948,0.698,-0.828);(20.253,0.500,-20.000);0,01315279;0;0;0,01315279;0,001000047;0;0;0,001000047;28,45215;0;0;28,45215;0,09156594;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
5;4;02_Sc_CWIP_Passthrough;Passthrough;0,305649;0,084578;20170324T133929;60,00045;0,099445;Estacionario;(0.006,1.650,-0.011);(0.005,1.650,-0.011);(0.006,1.028,-0.024);(1.950,0.703,-0.828);(1.949,0.702,-0.828);(20.253,0.500,-20.000);0,0009994507;0;0;0,0009994507;0,001000047;0;0;0,001000047;28,45144;0;0;28,45144;0,0549506;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
8;4;02_Sc_CWIP_Passthrough;Passthrough;0,607206;0,020545;20170324T133929;60,00014;0,027677;WIP;(0.011,1.650,-0.014);(0.008,1.650,-0.008);(0.016,1.007,0.017);(1.946,0.679,-0.842);(1.946,0.679,-0.842);(20.253,0.500,-20.000);0,006919733;0;0,006919733;0;0;0;0;0;28,44581;0;28,44581;0;0,08539711;0,125;0,003459625;0,8;False;0;Unknown;Unknown;0;1;True;NULL
9;4;02_Sc_CWIP_Passthrough;Passthrough;0,639965;0,032759;20170324T133929;60,00013;0,015452;WIP;(0.012,1.650,-0.016);(0.011,1.650,-0.014);(0.017,1.007,0.015);(1.945,0.676,-0.844);(1.946,0.679,-0.842);(20.253,0.500,-20.000);0,001931467;0;0,001931467;0;0,002236013;0;0,002236013;0;28,44405;0;28,44405;0;0,06049524;0,125;0,0019315;0,8;False;0;Unknown;Unknown;0;1;True;NULL
10;4;02_Sc_CWIP_Passthrough;Passthrough;0,807432;0,167467;20170324T133929;60,00006;0,16701;WIP;(0.041,1.650,-0.085);(0.012,1.650,-0.016);(0.047,1.005,-0.049);(1.948,0.690,-0.832);(1.945,0.676,-0.844);(20.253,0.500,-20.000);0,07496309;0;0,07496309;0;0,01236926;0;0,01236926;0;28,37458;0;28,37458;0;0,1280314;0,125;0,02087625;0,8;False;0;Unknown;Unknown;0;1;True;NULL
11;4;02_Sc_CWIP_Passthrough;Passthrough;0,921671;0,114239;20170324T133929;60,00003;0,110092;WIP;(0.057,1.650,-0.120);(0.041,1.650,-0.085);(0.063,1.016,-0.089);(1.948,0.690,-0.832);(1.948,0.690,-0.832);(20.253,0.500,-20.000);0,03853908;0;0,03853908;0;0;0;0;0;28,33859;0;28,33859;0;0,06819872;0,125;0,0137615;0,8;False;0;Unknown;Unknown;0;1;True;NULL
12;4;02_Sc_CWIP_Passthrough;Passthrough;0,974964;0,053293;20170324T133929;60,00002;0,060477;WIP;(0.064,1.650,-0.136);(0.057,1.650,-0.120);(0.070,1.016,-0.105);(1.949,0.704,-0.824);(1.948,0.690,-0.832);(20.253,0.500,-20.000);0,01715148;0;0,01715148;0;0,00806228;0;0,00806228;0;28,32257;0;28,32257;0;0,1255237;0,125;0,007559625;0,8;False;0;Unknown;Unknown;0;1;True;NULL
13;4;02_Sc_CWIP_Passthrough;Passthrough;1,005128;0,030164;20170324T133929;60,00002;0,018884;WIP;(0.065,1.650,-0.138);(0.064,1.650,-0.136);(0.072,1.029,-0.122);(1.950,0.708,-0.820);(1.949,0.704,-0.824);(20.253,0.500,-20.000);0,002360399;0;0,002360399;0;0,004123125;0;0,004123125;0;28,32041;0;28,32041;0;0,09689379;0,125;0,0023605;0,8;False;0;Unknown;Unknown;0;1;True;NULL
14;4;02_Sc_CWIP_Passthrough;Passthrough;1,128037;0,122909;20170324T133930;60,00002;0,111791;WIP;(0.077,1.650,-0.170);(0.065,1.650,-0.138);(0.083,1.034,-0.162);(1.951,0.715,-0.816);(1.950,0.708,-0.820);(20.253,0.500,-20.000);0,03369095;0;0,03369095;0;0,004123096;0;0,004123096;0;28,28986;0;28,28986;0;0,07768233;0,125;0,01397387;0,8;False;0;Unknown;Unknown;0;1;True;NULL
15;4;02_Sc_CWIP_Passthrough;Passthrough;1,192863;0,064826;20170324T133930;60,00002;0,075849;WIP;(0.084,1.650,-0.190);(0.077,1.650,-0.170);(0.089,1.040,-0.191);(1.952,0.719,-0.813);(1.951,0.715,-0.816);(20.253,0.500,-20.000);0,02140246;0;0,02140246;0;0,003162256;0;0,003162256;0;28,27079;0;28,27079;0;0,07613049;0,125;0,009481125;0,8;False;0;Unknown;Unknown;0;1;True;NULL
16;4;02_Sc_CWIP_Passthrough;Passthrough;1,226186;0,033323;20170324T133930;60,00002;0,018968;WIP;(0.085,1.650,-0.192);(0.084,1.650,-0.190);(0.090,1.045,-0.204);(1.952,0.722,-0.812);(1.952,0.719,-0.813);(20.253,0.500,-20.000);0,002370934;0;0,002370934;0;0,001000047;0;0,001000047;0;28,26871;0;28,26871;0;0,04704863;0,125;0,002371;0,8;False;0;Unknown;Unknown;0;1;True;NULL
17;4;02_Sc_CWIP_Passthrough;Passthrough;1,309861;0,083675;20170324T133930;60,00002;0,085397;WIP;(0.091,1.650,-0.213);(0.085,1.650,-0.192);(0.098,1.048,-0.224);(1.954,0.726,-0.812);(1.952,0.722,-0.812);(20.253,0.500,-20.000);0,02218185;0;0,02218185;0;0,001999974;0;0,001999974;0;28,24929;0;28,24929;0;0,04536519;0,125;0,01067462;0,8;False;0;Unknown;Unknown;0;1;True;NULL
18;4;02_Sc_CWIP_Passthrough;Passthrough;1,428422;0,118561;20170324T133930;60,00002;0,104104;WIP;(0.104,1.650,-0.257);(0.091,1.650,-0.213);(0.107,1.052,-0.267);(1.954,0.726,-0.812);(1.954,0.726,-0.812);(20.253,0.500,-20.000);0,04511718;0;0,04511718;0;0;0;0;0;28,20975;0;28,20975;0;0,02416477;0,125;0,013013;0,8;False;0;Unknown;Unknown;0;1;True;NULL
19;4;02_Sc_CWIP_Passthrough;Passthrough;1,512634;0,084212;20170324T133930;60,00002;0,081661;WIP;(0.110,1.650,-0.278);(0.104,1.650,-0.257);(0.113,1.052,-0.288);(1.952,0.707,-0.825);(1.954,0.726,-0.812);(20.253,0.500,-20.000);0,02195331;0;0,02195331;0;0,01315295;0;0,01315295;0;28,19051;0;28,19051;0;0,09366544;0,125;0,01020763;0,8;False;0;Unknown;Unknown;0;1;True;NULL
20;4;02_Sc_CWIP_Passthrough;Passthrough;1,541457;0,028823;20170324T133930;60,00002;0,033421;WIP;(0.112,1.650,-0.281);(0.110,1.650,-0.278);(0.113,1.028,-0.273);(1.951,0.708,-0.821);(1.952,0.707,-0.825);(20.253,0.500,-20.000);0,004178402;0;0,004178402;0;0,004123125;0;0,004123125;0;28,1867;0;28,1867;0;0,08239072;0,125;0,004177625;0,8;False;0;Unknown;Unknown;0;1;True;NULL
21;4;02_Sc_CWIP_Passthrough;Passthrough;1,609166;0,067709;20170324T133930;60,00002;0,078846;WIP;(0.119,1.650,-0.299);(0.112,1.650,-0.281);(0.121,1.029,-0.293);(1.951,0.709,-0.820);(1.951,0.708,-0.821);(20.253,0.500,-20.000);0,01926776;0;0,01926776;0;0,0009999871;0;0,0009999871;0;28,16896;0;28,16896;0;0,06030295;0,125;0,00985575;0,8;False;0;Unknown;Unknown;0;1;True;NULL
22;4;02_Sc_CWIP_Passthrough;Passthrough;1,708692;0,099526;20170324T133930;60,00002;0,084197;Estacionario;(0.128,1.650,-0.319);(0.119,1.650,-0.299);(0.133,1.028,-0.310);(1.952,0.711,-0.819);(1.951,0.709,-0.820);(20.253,0.500,-20.000);0,02181185;0;0;0,02181185;0,001414238;0;0;0,001414238;28,14882;0;0;28,14882;0,04345743;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
