Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra (*)
28;0;02_Sc_CWIP_Passthrough;Passthrough;2,444958;0,081654;20170324T134015;60,00002;0,083542;Estacionario;(0.312,1.650,-1.755);(0.312,1.650,-1.755);(0.296,1.047,-1.808);(1.951,0.730,-0.815);(1.951,0.726,-0.816);(20.253,0.500,-20.000);0;0;0;0;0,0009999871;0;0;0,0009999871;27,0283;0;0;27,0283;0,05265433;0,1395929;0,01166187;0,8;False;0;Unknown;Unknown;0;1;True;NULL
31;0;02_Sc_CWIP_Passthrough;Passthrough;2,661818;0,081229;20170324T134015;60,00002;0,075348;Estacionario;(0.325,1.650,-1.783);(0.314,1.650,-1.758);(0.308,1.049,-1.836);(1.947,0.709,-0.824);(1.951,0.730,-0.814);(20.253,0.500,-20.000);0,02720863;0;0;0,02720863;0,0107703;0;0;0,0107703;26,99962;0;0;26,99962;0,1304407;0,1395929;0,01051805;0,8;False;0;Unknown;Unknown;0;1;True;NULL
32;0;02_Sc_CWIP_Passthrough;Passthrough;2,697054;0,035236;20170324T134015;60,00002;0,075348;Estacionario;(0.321,1.650,-1.793);(0.325,1.650,-1.783);(0.306,1.026,-1.833);(1.941,0.686,-0.836);(1.947,0.709,-0.824);(20.253,0.500,-20.000);0,01076939;0;0;0,01076939;0,01341645;0;0;0,01341645;26,99582;0;0;26,99582;0,1516127;0,1395929;0,01051805;0,8;False;0;Unknown;Unknown;0;1;True;NULL
33;0;02_Sc_CWIP_Passthrough;Passthrough;2,725796;0,028742;20170324T134016;60,00002;0,075348;Estacionario;(0.315,1.650,-1.805);(0.321,1.650,-1.793);(0.302,1.000,-1.828);(1.942,0.689,-0.836);(1.941,0.686,-0.836);(20.253,0.500,-20.000);0,01341842;0;0;0,01341842;0,001000047;0;0;0,001000047;26,99216;0;0;26,99216;0,08970027;0,1395929;0,01051805;0,8;False;0;Closed;Unknown;0;1;True;Closed
34;0;02_Sc_CWIP_Passthrough;Passthrough;2,819338;0,093542;20170324T134016;60,00002;0,075348;Estacionario;(0.316,1.650,-1.805);(0.315,1.650,-1.805);(0.303,1.004,-1.829);(1.943,0.695,-0.833);(1.942,0.689,-0.836);(20.253,0.500,-20.000);0,001003265;0;0;0,001003265;0,003162275;0;0;0,003162275;26,99142;0;0;26,99142;0,06472822;0,1395929;0,01051805;0,8;False;0;Unknown;Unknown;0;1;True;NULL
35;0;02_Sc_CWIP_Passthrough;Passthrough;2,977878;0,15854;20170324T134016;60,00002;0,075348;Estacionario;(0.317,1.650,-1.802);(0.316,1.650,-1.805);(0.304,1.010,-1.830);(1.946,0.710,-0.827);(1.943,0.695,-0.833);(20.253,0.500,-20.000);0,003162124;0;0;0,003162124;0,006708197;0;0;0,006708197;26,99271;0;0;26,99271;0,08450793;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
36;0;02_Sc_CWIP_Passthrough;Passthrough;3,080745;0,102867;20170324T134016;60,00002;0,075348;Estacionario;(0.320,1.650,-1.796);(0.317,1.650,-1.802);(0.312,1.036,-1.839);(1.949,0.721,-0.826);(1.946,0.710,-0.827);(20.253,0.500,-20.000);0,006709211;0;0;0,006709211;0,003162312;0;0;0,003162312;26,99454;0;0;26,99454;0,08410955;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
37;0;02_Sc_CWIP_Passthrough;Passthrough;3,164651;0,083906;20170324T134016;60,00002;0,075348;Estacionario;(0.323,1.650,-1.795);(0.320,1.650,-1.796);(0.317,1.047,-1.843);(1.956,0.739,-0.825);(1.949,0.721,-0.826);(20.253,0.500,-20.000);0,003160691;0;0;0,003160691;0,007071036;0;0;0,007071036;26,99299;0;0;26,99299;0,1194632;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
38;0;02_Sc_CWIP_Passthrough;Passthrough;3,178266;0,013615;20170324T134016;60,00002;0,075348;Estacionario;(0.330,1.650,-1.794);(0.323,1.650,-1.795);(0.325,1.066,-1.850);(1.958,0.744,-0.823);(1.956,0.739,-0.825);(20.253,0.500,-20.000);0,007067268;0;0;0,007067268;0,002828391;0;0;0,002828391;26,9885;0;0;26,9885;0,1150384;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
39;0;02_Sc_CWIP_Passthrough;Passthrough;3,261927;0,083661;20170324T134016;60,00002;0,075348;Estacionario;(0.332,1.650,-1.792);(0.330,1.650,-1.794);(0.325,1.068,-1.850);(1.960,0.748,-0.821);(1.958,0.744,-0.823);(20.253,0.500,-20.000);0,00283033;0;0;0,00283033;0,002828517;0;0;0,002828517;26,98838;0;0;26,98838;0,09947404;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
