Registo;Tempo Absoluto (Segundos);Metodo de Deslocamento Em Uso;Estado Actual;Vel. Real (Directa, Normal);Vel. Real (Directa, Kalman);Vel. Virtual in Use (WIP);Vel. Virtual (WIP, Normal);Vel. Virtual (WIP, Kalman);Vel. Virtual (WIP, Event, Normal);Vel. Virtual (WIP, Event, Kalman);Vel. Virtual * Aumento (WIP);Vel. Virtual * Aumento (WIP) * Delta;Delta;Joint Vel. Real (Vector 2);Joint Camera (Vector 3);Joelho Direito (y);Joelho Esquerdo (y);Desvio Joelho Direito;Desvio Joelho Esquerdo;Desvio Joelho Geral;Desvio Joelho Kalman;Direito FootStates (WIP);Esquerdo FootStates (WIP);Direito FootTransitionEvents (WIP);Esquerdo FootTransitionEvents (WIP);N. Passos Total (WIP);N. Passos Direito (WIP);N. Passos Esquerdo (WIP);Distancia Direct;Distancia Wip;Distancia Estacionario;Distancia do anterior;Altura;Threshold de Velocidade Directa;Threshold de Velocidade WIP;Threshold Diff Knee;Threshold do Passo (WIP);Velocidade Inicial WIP;Velocidade Maxima WIP;Nome Joint Vel. Real;Nome Joint Camera;Tempo;Aumento (WIP);Id;Nivel;WIP Mode;Vel. Real (Directa, Kalman, Base);Begin Stop Active;Direito FootStates (WIP, Int);Esquerdo FootStates (WIP, Int);Direito FootTransitionEvents (WIP, Int);Esquerdo FootTransitionEvents (WIP, Int);Joelho Direito (y, Kalman);Joelho Esquerdo (y, Kalman);Vel. Virtual in Use (Estado, WIP)
0;0,011038;CWIP;Estacionario;0;0;0;0;0;0;0;0;0;0;( 0.316f, -0.514f );( 0.321f, 1.078f, -0.555f );0,043;0,028;0,015;0;0,015;0,004703365;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;1,65;0;0;0;1,671142;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141609;1;2;03_Sc_CWIP_Passthrough;Event;0;True;0;0;0;0;0,02160601;0,01406903;0
1;0,170692;CWIP;Estacionario;0,09240046;0,02094721;0;0;0;0;0;0;0;0;( 0.306f, -0.512f );( 0.310f, 1.105f, -0.560f );0,029;0,034;0;0,005000003;0,005000003;0,01964903;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,694244;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141610;1;2;03_Sc_CWIP_Passthrough;Event;0,02094721;True;0;0;0;0;0,02438586;0,02156231;0
2;0,254541;CWIP;Estacionario;0,2038299;0,0526802;0;0;0;0;0;0;0;0;( 0.322f, -0.513f );( 0.337f, 1.086f, -0.522f );0,037;0,024;0,013;0;0,013;0,03163705;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,01019639;0;0;0,01019639;1,669844;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141610;1;2;03_Sc_CWIP_Passthrough;Event;0,0526802;True;0;0;0;0;0,02845361;0,0223484;0
3;0,316993;CWIP;Estacionario;0,3929276;0,1062047;0;0;0;0;0;0;0;0;( 0.302f, -0.517f );( 0.312f, 1.120f, -0.555f );0,021;0,033;0;0,012;0,012;0,03986691;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,01602625;0;0;0,01602625;1,705167;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141610;1;2;03_Sc_CWIP_Passthrough;Event;0,1062047;True;0;0;0;0;0,02623989;0,02551193;0
4;0,416005;CWIP;Estacionario;0,3770936;0,1310375;0;0;0;0;0;0;0;0;( 0.317f, -0.515f );( 0.325f, 1.077f, -0.547f );0,041;0,026;0,015;0;0,015;0,0466587;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,02039279;0;0;0,02039279;1,666424;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141610;1;2;03_Sc_CWIP_Passthrough;Event;0,1310375;True;0;0;0;0;0,03043443;0,02565063;0
5;0,464605;CWIP;Estacionario;0,03217151;0,07610326;0;0;0;0;0;0;0;0;( 0.316f, -0.514f );( 0.321f, 1.078f, -0.555f );0,043;0,028;0,015;0;0,015;0,02779775;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,01513593;0;0;0,01513593;1,671142;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141610;1;2;03_Sc_CWIP_Passthrough;Event;0,07610326;True;0;0;0;0;0,03392201;0,0263027;0
6;0,515559;CWIP;Estacionario;0,07713901;0,05574416;0;0;0;0;0;0;0;0;( 0.313f, -0.512f );( 0.314f, 1.087f, -0.563f );0,039;0,032;0,006999999;0;0,006999999;0,01618488;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,001416515;0;0;0,001416515;1,68459;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141610;1;2;03_Sc_CWIP_Passthrough;Event;0,05574416;True;0;0;0;0;0,03531376;0,02786418;0
7;0,565762;CWIP;Estacionario;0,06988782;0,04347272;0;0;0;0;0;0;0;0;( 0.310f, -0.511f );( 0.313f, 1.093f, -0.563f );0,036;0,033;0,002999999;0;0,002999999;0,009212336;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,00360734;0;0;0,00360734;1,684547;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141610;1;2;03_Sc_CWIP_Passthrough;Event;0,04347272;True;0;0;0;0;0,03550058;0,02926234;0
8;0,670875;CWIP;Estacionario;0,03988441;0,0310206;0;0;0;0;0;0;0;0;( 0.308f, -0.511f );( 0.311f, 1.101f, -0.562f );0,032;0,034;0;0,002;0,002;0,02077183;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,003160729;0;0;0,003160729;1,69034;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141610;1;2;03_Sc_CWIP_Passthrough;Event;0,0310206;True;0;0;0;0;0,034551;0,03054749;0
9;0,714425;CWIP;Estacionario;0,05687632;0,02773821;0;0;0;0;0;0;0;0;( 0.306f, -0.512f );( 0.310f, 1.105f, -0.560f );0,029;0,034;0;0,005000003;0,005000003;0,01205039;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,001998901;0;0;0,001998901;1,694244;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141610;1;2;03_Sc_CWIP_Passthrough;Event;0,02773821;True;0;0;0;0;0,03304809;0,03148225;0
