Registo;Tempo Absoluto (Segundos);Metodo de Deslocamento Em Uso;Estado Actual;Vel. Real (Directa, Normal);Vel. Real (Directa, Kalman);Vel. Virtual in Use (WIP);Vel. Virtual (WIP, Normal);Vel. Virtual (WIP, Kalman);Vel. Virtual (WIP, Event, Normal);Vel. Virtual (WIP, Event, Kalman);Vel. Virtual * Aumento (WIP);Vel. Virtual * Aumento (WIP) * Delta;Delta;Joint Vel. Real (Vector 2);Joint Camera (Vector 3);Joelho Direito (y);Joelho Esquerdo (y);Desvio Joelho Direito;Desvio Joelho Esquerdo;Desvio Joelho Geral;Desvio Joelho Kalman;Direito FootStates (WIP);Esquerdo FootStates (WIP);Direito FootTransitionEvents (WIP);Esquerdo FootTransitionEvents (WIP);N. Passos Total (WIP);N. Passos Direito (WIP);N. Passos Esquerdo (WIP);Distancia Direct;Distancia Wip;Distancia Estacionario;Distancia do anterior;Altura;Threshold de Velocidade Directa;Threshold de Velocidade WIP;Threshold Diff Knee;Threshold do Passo (WIP);Velocidade Inicial WIP;Velocidade Maxima WIP;Tempo;Id;Nivel;Vel. Real (Directa, Kalman, Base);Begin Stop Active;Vel. Virtual in Use (Estado, WIP)
0;0,011804;CWIP;Estacionario;0;0;0;0;0;0;0;0;0;0;( 1.672f, 0.054f );( 1.855f, 1.454f, 0.063f );0,434;0,406;0,028;0;0,028;0,008779613;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;1,65;0;0;0;1,604761;0,8;0;0,05;0,035;0,45;4;20170202T123141;2;03_Sc_CWIP_Passthrough;0;True;0
1;0,493577;CWIP;Direct;9,372818;3,022505;0;0;0;0;0;0;0;0;( 1.908f, -0.029f );( 2.125f, 1.389f, -0.038f );0,422;0,389;0;0;0;0,005948403;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,631728;0,8;0;0,05;0,035;0,45;4;20170202T123141;2;03_Sc_CWIP_Passthrough;3,022505;True;0
2;0,691407;CWIP;Direct;5,804679;3,848811;0;0;0;0;0;0;0;0;( 2.051f, -0.104f );( 2.289f, 1.345f, -0.129f );0,422;0,389;0;0;0;0,004181726;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,25017;1,626928;0,8;0;0,05;0,035;0,45;4;20170202T123141;2;03_Sc_CWIP_Passthrough;3,848811;True;0
4;1,08727;CWIP;Direct;4,163499;3,630158;0;0;0;0;0;0;0;0;( 1.937f, -0.115f );( 2.077f, 1.400f, -0.130f );0,426;0,471;0;0;0;0,002162551;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,08232705;1,559706;0,8;0;0,05;0,035;0,45;4;20170202T123142;2;03_Sc_CWIP_Passthrough;3,630158;True;0
5;1,287235;CWIP;Direct;5,386698;4,11158;0;0;0;0;0;0;0;0;( 1.730f, -0.013f );( 1.823f, 1.450f, -0.033f );0,434;0,461;0;0;0;0,001569852;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,1749084;1,549402;0,8;0;0,05;0,035;0,45;4;20170202T123142;2;03_Sc_CWIP_Passthrough;4,11158;True;0
6;1,478096;CWIP;Direct;9,42899;5,559176;0;0;0;0;0;0;0;0;( 1.456f, 0.122f );( 1.500f, 1.531f, 0.106f );0,439;0,421;0;0;0;0,00114248;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,2307668;1,626307;0,8;0;0,05;0,035;0,45;4;20170202T123142;2;03_Sc_CWIP_Passthrough;5,559176;True;0
7;1,710366;CWIP;Direct;7,252661;6,018556;0;0;0;0;0;0;0;0;( 1.937f, -0.115f );( 2.077f, 1.400f, -0.130f );0,426;0,471;0;0;0;0,0008325675;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,3054506;1,559706;0,8;0;0,05;0,035;0,45;4;20170202T123142;2;03_Sc_CWIP_Passthrough;6,018556;True;0
8;2,252245;CWIP;Direct;8,166689;6,600153;0;0;0;0;0;0;0;0;( 1.730f, -0.013f );( 1.823f, 1.450f, -0.033f );0,434;0,461;0;0;0;0,0006071538;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,5362208;1,549402;0,8;0;0,05;0,035;0,45;4;20170202T123143;2;03_Sc_CWIP_Passthrough;6,600153;True;0
9;2,487043;CWIP;Direct;8,870955;7,214337;0;0;0;0;0;0;0;0;( 1.143f, 0.177f );( 1.157f, 1.574f, 0.166f );0,427;0,426;0;0;0;0,0004429369;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,2307702;1,794432;0,8;0;0,05;0,035;0,45;4;20170202T123143;2;03_Sc_CWIP_Passthrough;7,214337;True;0
10;2,733029;CWIP;Direct;0,5556722;5,414345;0;0;0;0;0;0;0;0;( 1.111f, 0.144f );( 1.133f, 1.557f, 0.133f );0,424;0,443;0;0;0;0,0003232008;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,6169819;1,800663;0,8;0;0,05;0,035;0,45;4;20170202T123143;2;03_Sc_CWIP_Passthrough;5,414345;True;0
